uid,variant_number,total_active_mins,active_mins_pre,active_mins_diff
481,0,25,17,8
482,0,5,27,-22
483,0,25,13,12
484,0,37,1,36
485,0,23,9,14
486,0,179,288,-109
487,0,11,20,-9
488,0,19,117,-98
489,0,4,204,-200
490,0,26,44,-18
491,0,67,80,-13
492,0,111,137,-26
493,0,434,463,-29
494,0,196,4237,-4041
495,0,34,49,-15
496,0,129,37,92
497,0,166,652,-486
498,0,15,30,-15
499,0,50,70,-20
500,0,22,85,-63
501,0,5,21,-16
502,0,11,20,-9
503,0,3484,6901,-3417
504,0,12,19,-7
506,0,31,35,-4
507,0,149,202,-53
508,0,74,26,48
509,0,1,50,-49
510,0,13,85,-72
511,0,42,58,-16
512,0,182,44,138
513,0,239,96,143
514,0,2471,3162,-691
515,0,789,228,561
516,0,62,25,37
517,0,20,10,10
518,0,16,8,8
519,0,1,11,-10
520,0,173,65,108
521,0,4,11,-7
522,0,38,72,-34
523,0,46,276,-230
525,0,5,32,-27
526,0,9,20,-11
527,0,63,52,11
528,0,15,12,3
529,0,41,41,0
530,0,90,402,-312
531,0,193,177,16
532,0,26,70,-44
533,0,25,20,5
534,0,59,235,-176
535,0,110,111,-1
536,0,46,75,-29
537,0,230,292,-62
538,0,341,998,-657
539,0,4,27,-23
540,0,3,22,-19
541,0,747,1556,-809
542,0,277,261,16
543,0,875,470,405
544,0,5838,5360,478
545,0,139,47,92
546,0,34,22,12
547,0,91,122,-31
548,0,21594,12732,8862
549,0,130,164,-34
550,0,507,216,291
551,0,31,73,-42
552,0,3,11,-8
553,0,354,2897,-2543
554,0,27,4,23
555,0,37,702,-665
556,0,7035,2046,4989
558,0,156,15,141
559,0,21,25,-4
560,0,51,111,-60
561,0,645,5312,-4667
562,0,1,4,-3
563,0,96,11,85
564,0,86,276,-190
566,0,157,230,-73
567,0,6,16,-10
568,0,102,17,85
569,0,85,86,-1
570,0,79,15,64
571,0,133,131,2
572,0,26,15,11
573,0,200,356,-156
574,0,5,2,3
575,0,398,804,-406
576,0,1,1,0
577,0,49,1,48
578,0,153,71,82
579,0,226,3480,-3254
580,0,19,13,6
581,0,8,27,-19
582,0,4,13,-9
583,0,16,17,-1
584,0,12,75,-63
585,0,591,703,-112
586,0,188,350,-162
587,0,28,33,-5
589,0,70,134,-64
590,0,33,13,20
591,0,204,562,-358
592,0,855,1134,-279
593,0,14,18,-4
594,0,67,165,-98
595,0,52,52,0
596,0,112,100,12
597,0,57,91,-34
598,0,18,54,-36
599,0,61,57,4
600,0,10,387,-377
601,0,16,29,-13
602,0,9,11,-2
603,0,76,54,22
605,0,207,247,-40
606,0,293,106,187
607,0,111,23,88
608,0,826,488,338
609,0,3,17,-14
610,0,151,617,-466
611,0,81,78,3
612,0,107,84,23
613,0,14,6,8
614,0,63,130,-67
616,0,5,2,3
617,0,132,191,-59
618,0,83,80,3
619,0,4,79,-75
620,0,180,158,22
621,0,233,103,130
622,0,3732,1241,2491
623,0,224,579,-355
624,0,84,100,-16
625,0,4,7,-3
626,0,11,19,-8
628,0,32,29,3
629,0,6,22,-16
630,0,5,17,-12
631,0,59,201,-142
632,0,43,64,-21
633,0,136,79,57
635,0,40,16,24
636,0,32,60,-28
637,0,200,222,-22
638,0,234,106,128
639,0,162,260,-98
640,0,14,2,12
641,0,384,329,55
642,0,12,30,-18
643,0,8,13,-5
644,0,21,40,-19
646,0,7,2,5
647,0,35,30,5
648,0,13,18,-5
649,0,59,755,-696
650,0,10,174,-164
651,0,4,6,-2
652,0,23,18,5
655,0,26,4,22
656,0,3,2,1
657,0,30,35,-5
658,0,20,7,13
659,0,49,10,39
660,0,2771,1735,1036
662,0,144,196,-52
663,0,70,47,23
664,0,12,32,-20
665,0,471,453,18
666,0,28,144,-116
667,0,35,107,-72
668,0,5429,4203,1226
669,0,32,24,8
670,0,5,22,-17
671,0,3,40,-37
672,0,61,117,-56
673,0,179,69,110
674,0,5768,7698,-1930
675,0,38,25,13
676,0,244,357,-113
677,0,128,118,10
678,0,151,161,-10
679,0,73,39,34
680,0,25,66,-41
681,0,54,64,-10
682,0,126,91,35
683,0,13376,12638,738
684,0,11,36,-25
685,0,36,79,-43
686,0,162,187,-25
687,0,111,79,32
688,0,80,287,-207
689,0,43,82,-39
690,0,101,276,-175
691,0,103,193,-90
692,0,1167,678,489
693,0,170,109,61
694,0,10,24,-14
695,0,2,59,-57
697,0,142,179,-37
698,0,756,1725,-969
699,0,342,444,-102
700,0,7,68,-61
701,0,23,10,13
702,0,26,61,-35
703,0,13,73,-60
704,0,9,64,-55
705,0,90,85,5
706,0,4,3,1
707,0,1370,5802,-4432
708,0,63,57,6
709,0,388,860,-472
710,0,121,39,82
711,0,35,43,-8
712,0,6,16,-10
713,0,778,570,208
714,0,369,766,-397
715,0,27,70,-43
716,0,25,54,-29
717,0,1,15,-14
718,0,21,10,11
719,0,7,9,-2
721,0,354,159,195
722,0,121,5,116
723,0,23,36,-13
724,0,164,414,-250
725,0,30,21,9
726,0,76,45,31
727,0,14,10,4
728,0,6,88,-82
729,0,53,90,-37
730,0,16,124,-108
731,0,33,28,5
732,0,926,746,180
733,0,852,542,310
734,0,27,14,13
735,0,149,268,-119
736,0,107,72,35
737,0,18,48,-30
738,0,1932,64,1868
739,0,989,805,184
740,0,256,230,26
741,0,92,129,-37
742,0,54,42,12
743,0,1269,582,687
745,0,135,29,106
746,0,3,45,-42
747,0,302,362,-60
748,0,42,14,28
750,0,16,3,13
751,0,9,15,-6
752,0,40,70,-30
753,0,42,14,28
754,0,16,21,-5
755,0,42,456,-414
757,0,408,249,159
758,0,87,83,4
759,0,293,175,118
760,0,106,14,92
761,0,38,33,5
762,0,10,12,-2
763,0,18,1097,-1079
764,0,2,5,-3
765,0,918,682,236
766,0,4233,4047,186
767,0,169,47,122
768,0,342,603,-261
769,0,61,3,58
770,0,35,65,-30
771,0,222,134,88
772,0,275,2,273
773,0,639,23,616
774,0,745,537,208
775,0,37,14,23
776,0,552,2842,-2290
777,0,51,123,-72
778,0,28,80,-52
779,0,2,4,-2
780,0,3,89,-86
781,0,50,82,-32
782,0,64,83,-19
783,0,52,27,25
784,0,75,20,55
785,0,34,24,10
786,0,31,27,4
787,0,55,60,-5
788,0,78,160,-82
789,0,43,635,-592
790,0,20,14,6
791,0,1,20,-19
792,0,407,250,157
793,0,99,116,-17
794,0,12,31,-19
795,0,91,30,61
796,0,17,18,-1
797,0,55,33,22
798,0,2,51,-49
799,0,463,736,-273
800,0,12,10,2
801,0,32,26,6
802,0,29,26,3
803,0,186,252,-66
804,0,2,0,2
806,0,8,93,-85
807,0,21,5,16
808,0,16,9,7
809,0,49,72,-23
810,0,22,4,18
811,0,25,26,-1
812,0,1878,15834,-13956
813,0,36,67,-31
814,0,87,49,38
815,0,1079,266,813
816,0,149,87,62
817,0,4,8,-4
818,0,13,46,-33
819,0,2,16,-14
820,0,299,83,216
821,0,4,57,-53
822,0,27,33,-6
823,0,1,38,-37
824,0,51,48,3
825,0,36,26,10
826,0,47,2,45
827,0,382,190,192
828,0,2,37,-35
829,0,5,5,0
830,0,484,312,172
831,0,112,13,99
832,0,200,148,52
833,0,37,22,15
834,0,200,173,27
835,0,23,205,-182
836,0,132,136,-4
837,0,681,439,242
838,0,44,163,-119
839,0,197,51,146
841,0,78,25,53
842,0,27,43,-16
843,0,468,709,-241
844,0,2,2,0
845,0,204,434,-230
846,0,32,90,-58
847,0,80,68,12
848,0,397,328,69
849,0,122,22,100
850,0,5201,8400,-3199
851,0,12,40,-28
852,0,23,29,-6
855,0,39,13,26
858,0,4,40,-36
859,0,10,1,9
861,0,5,6,-1
862,0,18,23,-5
863,0,61,75,-14
864,0,37,69,-32
865,0,127,66,61
866,0,10,189,-179
867,0,39,94,-55
868,0,1,7,-6
869,0,121,40,81
871,0,4385,7041,-2656
872,0,8,22,-14
873,0,3,13,-10
874,0,22,33,-11
875,0,8,4,4
876,0,27,70,-43
877,0,31,166,-135
878,0,74,118,-44
879,0,71,122,-51
880,0,112,71,41
881,0,18,26,-8
882,0,318,477,-159
883,0,27,52,-25
884,0,4279,1140,3139
885,0,11,47,-36
886,0,278,427,-149
887,0,11,147,-136
888,0,21,114,-93
889,0,1741,1209,532
890,0,34,21,13
891,0,113,270,-157
892,0,4,10,-6
893,0,124,93,31
894,0,43,368,-325
896,0,2,4,-2
897,0,882,147,735
898,0,67,36,31
899,0,15,44,-29
900,0,210,215,-5
901,0,3,19,-16
902,0,21,55,-34
903,0,55,19,36
904,0,42,17,25
905,0,32,63,-31
906,0,74,131,-57
907,0,1758,1746,12
908,0,3,27,-24
910,0,12,49,-37
911,0,168,140,28
912,0,59,34,25
913,0,221,320,-99
914,0,42,54,-12
915,0,128,1207,-1079
916,0,1039,2341,-1302
918,0,7,42,-35
919,0,20,23,-3
920,0,57,64,-7
921,0,2,3,-1
922,0,1,16,-15
923,0,79,30,49
924,0,823,880,-57
925,0,461,345,116
926,0,40,73,-33
927,0,24,45,-21
928,0,72,70,2
930,0,242,149,93
931,0,18,26,-8
932,0,128,254,-126
933,0,37,29,8
934,0,59,53,6
935,0,5,25,-20
936,0,6,6,0
937,0,298,87,211
938,0,3,9,-6
939,0,10719,12997,-2278
941,0,31,46,-15
942,0,203,343,-140
943,0,236,1115,-879
945,0,23,161,-138
946,0,50,108,-58
947,0,300,446,-146
948,0,4,10,-6
950,0,15,26,-11
951,0,394,1390,-996
952,0,230,134,96
953,0,238,1094,-856
954,0,16,4,12
955,0,15,6,9
956,0,29,54,-25
957,0,178,144,34
958,0,45,60,-15
959,0,10,41,-31
960,0,16,98,-82
961,0,156,134,22
962,0,18,27,-9
963,0,80,28,52
964,0,57,22,35
965,0,48,19,29
967,0,138,41,97
968,0,150,41,109
970,0,10,21,-11
971,0,369,363,6
972,0,18,20,-2
973,0,28,59,-31
974,0,36,67,-31
975,0,1658,1131,527
976,0,362,586,-224
977,0,112,48,64
978,0,103,133,-30
979,0,16,41,-25
980,0,9,6,3
981,0,1053,2512,-1459
982,0,211,1406,-1195
983,0,488,526,-38
984,0,88,49,39
985,0,8,15,-7
986,0,19,92,-73
987,0,6,16,-10
988,0,38,74,-36
989,0,126,27,99
990,0,722,179,543
991,0,8,19,-11
992,0,38,26,12
993,0,11,22,-11
994,0,11,27,-16
995,0,1,62,-61
996,0,317,228,89
997,0,267,134,133
998,0,49,39,10
999,0,68,30,38
1001,0,5,13,-8
1002,0,1,3,-2
1003,0,78,298,-220
1004,0,116,59,57
1006,0,4,58,-54
1007,0,116,46,70
1008,0,24,3,21
1009,0,15,75,-60
1010,0,899,572,327
1011,0,2,209,-207
1012,0,9,1,8
1013,0,81,67,14
1014,0,213,223,-10
1015,0,152,47,105
1016,0,11,28,-17
1017,0,16,41,-25
1018,0,11,9,2
1019,0,11,12,-1
1020,0,15,37,-22
1021,0,1068,515,553
1022,0,91,449,-358
1023,0,1548,2343,-795
1024,0,33,52,-19
1025,0,99,193,-94
1026,0,53,110,-57
1027,0,94,252,-158
1028,0,824,371,453
1029,0,2473,3551,-1078
1030,0,1188,1222,-34
1031,0,158,42,116
1032,0,5,2,3
1033,0,65,94,-29
1034,0,88,138,-50
1035,0,2133,2264,-131
1036,0,2858,3592,-734
1037,0,362,602,-240
1038,0,18,14,4
1039,0,2105,2158,-53
1040,0,27,38,-11
1041,0,1064,1960,-896
1042,0,735,407,328
1043,0,90,39,51
1044,0,172,448,-276
1045,0,268,37,231
1046,0,11,19,-8
1047,0,3909,2461,1448
1048,0,33,266,-233
1049,0,390,74,316
1051,0,20,27,-7
1052,0,20,26,-6
1053,0,3614,7471,-3857
1054,0,29,21,8
1055,0,8,62,-54
1056,0,4,4,0
1057,0,170,182,-12
1058,0,12,25,-13
1059,0,214,138,76
1060,0,76,32,44
1061,0,91,69,22
1062,0,1046,694,352
1063,0,203,1162,-959
1064,0,124,490,-366
1065,0,516,58,458
1066,0,2,5,-3
1068,0,3,6,-3
1069,0,545,252,293
1070,0,226,291,-65
1072,0,193,260,-67
1073,0,1476,601,875
1074,0,2,35,-33
1075,0,90,76,14
1076,0,12,29,-17
1077,0,1052,735,317
1078,0,5,51,-46
1079,0,6,4,2
1080,0,6344,9356,-3012
1081,0,2657,2725,-68
1082,0,25,4,21
1083,0,13,33,-20
1084,0,59,40,19
1085,0,9,3,6
1086,0,173,189,-16
1088,0,71,155,-84
1089,0,8,12,-4
1090,0,49,531,-482
1091,0,4,4,0
1092,0,4,1,3
1093,0,471,179,292
1094,0,20,1,19
1095,0,31,68,-37
1096,0,146,252,-106
1097,0,11,5,6
1098,0,66,57,9
1099,0,20,10,10
1100,0,8,30,-22
1101,0,6,12,-6
1102,0,111,64,47
1103,0,15,37,-22
1104,0,3,3,0
1105,0,22,20,2
1106,0,713,75,638
1107,0,221,119,102
1108,0,13,19,-6
1109,0,259,578,-319
1110,0,111,130,-19
1111,0,22,20,2
1112,0,8,17,-9
1113,0,2,17,-15
1114,0,113,45,68
1115,0,2285,3496,-1211
1116,0,3,58,-55
1117,0,4554,19894,-15340
1118,0,86,186,-100
1119,0,34,87,-53
1120,0,378,1210,-832
1121,0,15,13,2
1122,0,27,42,-15
1123,0,225,1059,-834
1124,0,653,221,432
1125,0,110,12,98
1126,0,10,21,-11
1127,0,11,10,1
1128,0,2174,4029,-1855
1129,0,25,11,14
1130,0,231,162,69
1131,0,10,6,4
1132,0,41,34,7
1133,0,15,17,-2
1135,0,18,5,13
1136,0,20,141,-121
1137,0,36,44,-8
1138,0,405,617,-212
1139,0,33,17,16
1140,0,210,148,62
1141,0,9,15,-6
1142,0,2700,3059,-359
1143,0,8,18,-10
1144,0,32,55,-23
1145,0,6,23,-17
1146,0,1,7,-6
1147,0,4368,6516,-2148
1148,0,91,105,-14
1149,0,367,81,286
1150,0,53,89,-36
1151,0,1,5,-4
1152,0,47,20,27
1153,0,90,28,62
1154,0,36,39,-3
1155,0,64,15,49
1156,0,15,4,11
1158,0,282,186,96
1159,0,146,722,-576
1160,0,18,9,9
1161,0,5767,1437,4330
1162,0,2,11,-9
1163,0,115,138,-23
1164,0,37,18,19
1165,0,21,26,-5
1166,0,162,57,105
1167,0,8776,11820,-3044
1168,0,1,4,-3
1169,0,6752,2073,4679
1170,0,16,2,14
1171,0,52,222,-170
1172,0,191,699,-508
1173,0,20,56,-36
1174,0,5,36,-31
1175,0,176,221,-45
1176,0,19,20,-1
1177,0,2477,1237,1240
1178,0,883,913,-30
1179,0,389,39,350
1181,0,61,42,19
1182,0,151,27,124
1183,0,339,831,-492
1184,0,3,28,-25
1185,0,37,627,-590
1186,0,255,186,69
1187,0,134,885,-751
1188,0,1190,804,386
1189,0,54,27,27
1190,0,5,43,-38
1191,0,30,23,7
1193,0,3,50,-47
1194,0,156,238,-82
1195,0,17,67,-50
1196,0,78,155,-77
1198,0,8,17,-9
1199,0,19,39,-20
1200,0,21,29,-8
1201,0,3,100,-97
1202,0,1131,411,720
1203,0,58,56,2
1204,0,60,229,-169
1206,0,1591,1909,-318
1207,0,72,233,-161
1208,0,24,5,19
1209,0,14,14,0
1211,0,5,10,-5
1212,0,1,5,-4
1213,0,7,43,-36
1214,0,20,32,-12
1215,0,25,33,-8
1216,0,253,208,45
1217,0,3,12,-9
1218,0,23,27,-4
1219,0,120583,223414,-102831
1220,0,4,24,-20
1221,0,368,188,180
1222,0,16,19,-3
1223,0,71,69,2
1224,0,122,66,56
1225,0,2473,1848,625
1226,0,67,185,-118
1227,0,42,12,30
1229,0,10707,13778,-3071
1230,0,11,13,-2
1231,0,61,112,-51
1233,0,298,86,212
1234,0,71,137,-66
1235,0,9,3,6
1236,0,11,13,-2
1237,0,3,8,-5
1239,0,16,77,-61
1240,0,198,230,-32
1241,0,730,995,-265
1242,0,153,272,-119
1243,0,22,20,2
1244,0,106,105,1
1245,0,1,1,0
1246,0,9,59,-50
1247,0,94,703,-609
1248,0,41,107,-66
1249,0,815,669,146
1250,0,26,37,-11
1251,0,15,25,-10
1252,0,3280,2773,507
1253,0,658,354,304
1254,0,158,105,53
1255,0,2397,10179,-7782
1256,0,790,1163,-373
1257,0,4,11,-7
1258,0,18,7,11
1259,0,49,34,15
1260,0,1258,738,520
1261,0,194,398,-204
1263,0,133,53,80
1264,0,65,71,-6
1265,0,3866,5102,-1236
1267,0,2,14,-12
1268,0,8,14,-6
1269,0,41,2,39
1270,0,58,82,-24
1271,0,615,950,-335
1272,0,2574,4410,-1836
1273,0,513,232,281
1274,0,69,135,-66
1275,0,403,215,188
1276,0,172,39,133
1277,0,322,2199,-1877
1278,0,5,33,-28
1279,0,4,2,2
1280,0,69,43,26
1281,0,24,3,21
1283,0,229,443,-214
1285,0,3767,3126,641
1286,0,66,28,38
1287,0,19,45,-26
1288,0,131,187,-56
1289,0,59,217,-158
1290,0,36,15,21
1291,0,148,275,-127
1293,0,626,584,42
1294,0,62,93,-31
1295,0,6485,6793,-308
1296,0,4,7,-3
1297,0,5,6,-1
1298,0,65,33,32
1299,0,719,1350,-631
1301,0,152,112,40
1303,0,7,5,2
1304,0,26,43,-17
1305,0,187,68,119
1306,0,2,10,-8
1307,0,32,78,-46
1308,0,1396,104470,-103074
1309,0,11,16,-5
1310,0,22,27,-5
1311,0,5,71,-66
1312,0,30,55,-25
1313,0,3901,5323,-1422
1314,0,129,149,-20
1315,0,40,86,-46
1316,0,18,40,-22
1318,0,115,192,-77
1319,0,54,73,-19
1320,0,3,5,-2
1321,0,240,91,149
1322,0,14,14,0
1323,0,48,47,1
1324,0,24,5,19
1325,0,76,231,-155
1326,0,60,34,26
1327,0,72,89,-17
1328,0,2213,1604,609
1329,0,514,850,-336
1330,0,938,91,847
1331,0,8,58,-50
1332,0,23,4,19
1333,0,3172,3526,-354
1334,0,6847,8608,-1761
1335,0,1590,1430,160
1337,0,101,15,86
1338,0,2455,714,1741
1339,0,178,16,162
1341,0,47,68,-21
1342,0,30,72,-42
1343,0,1938,1642,296
1344,0,8,53,-45
1345,0,33,27,6
1346,0,31,9,22
1347,0,4,20,-16
