uid,variant_number,total_active_mins,active_mins_pre,active_mins_diff
328,0,28,66,-38
330,0,20,54,-34
331,0,17,21,-4
332,0,9,1,8
333,0,25,28,-3
334,0,25,41,-16
335,0,53,52,1
336,0,44,63,-19
337,0,38,32,6
341,0,2,1,1
345,0,88,67,21
346,0,118,68,50
347,0,42,63,-21
349,0,8,4,4
350,0,17,22,-5
351,0,18,40,-22
352,0,9,1,8
354,0,22,32,-10
356,0,80,70,10
357,0,48,28,20
358,0,515,561,-46
360,0,19,39,-20
362,0,16,4,12
363,0,104,164,-60
364,0,2,4,-2
368,0,51,70,-19
371,0,51,48,3
373,0,34,53,-19
374,0,9,2,7
375,0,130,122,8
376,0,15,2,13
380,0,16,30,-14
382,0,3,0,3
383,0,68,75,-7
384,0,12,18,-6
385,0,88,57,31
386,0,46,34,12
391,0,23,77,-54
392,0,83,47,36
393,0,159,131,28
395,0,14,15,-1
398,0,76,67,9
399,0,10,64,-54
402,0,194,201,-7
404,0,30,52,-22
406,0,64,22,42
409,0,2,18,-16
412,0,55,14,41
413,0,68,30,38
414,0,87,122,-35
415,0,18,21,-3
416,0,53,38,15
418,0,29,24,5
419,0,1,14,-13
421,0,146,198,-52
426,0,1,41,-40
427,0,255,235,20
431,0,2,27,-25
432,0,2,8,-6
433,0,23,17,6
435,0,21,4,17
436,0,104,70,34
438,0,149,120,29
441,0,39,51,-12
442,0,32,36,-4
443,0,85,63,22
444,0,1,39,-38
446,0,10,16,-6
449,0,4,6,-2
452,0,21,13,8
453,0,23,9,14
455,0,13,18,-5
456,0,18,40,-22
460,0,7,57,-50
461,0,46,77,-31
462,0,39,33,6
463,0,15,1,14
465,0,13,30,-17
466,0,5,16,-11
470,0,51,71,-20
471,0,4,4,0
472,0,36,7,29
473,0,107,118,-11
474,0,54,12,42
475,0,24,20,4
476,0,9,19,-10
478,0,57,74,-17
480,0,202,245,-43
481,0,25,17,8
482,0,5,27,-22
483,0,25,13,12
484,0,37,1,36
485,0,23,9,14
487,0,11,20,-9
490,0,26,44,-18
491,0,67,80,-13
492,0,111,137,-26
493,0,434,463,-29
495,0,34,49,-15
498,0,15,30,-15
499,0,50,70,-20
501,0,5,21,-16
502,0,11,20,-9
504,0,12,19,-7
506,0,31,35,-4
507,0,149,202,-53
508,0,74,26,48
509,0,1,50,-49
511,0,42,58,-16
516,0,62,25,37
517,0,20,10,10
518,0,16,8,8
519,0,1,11,-10
521,0,4,11,-7
522,0,38,72,-34
525,0,5,32,-27
526,0,9,20,-11
527,0,63,52,11
528,0,15,12,3
529,0,41,41,0
531,0,193,177,16
532,0,26,70,-44
533,0,25,20,5
535,0,110,111,-1
536,0,46,75,-29
539,0,4,27,-23
540,0,3,22,-19
542,0,277,261,16
546,0,34,22,12
547,0,91,122,-31
549,0,130,164,-34
551,0,31,73,-42
552,0,3,11,-8
554,0,27,4,23
559,0,21,25,-4
560,0,51,111,-60
562,0,1,4,-3
567,0,6,16,-10
569,0,85,86,-1
571,0,133,131,2
572,0,26,15,11
574,0,5,2,3
576,0,1,1,0
577,0,49,1,48
580,0,19,13,6
581,0,8,27,-19
582,0,4,13,-9
583,0,16,17,-1
587,0,28,33,-5
590,0,33,13,20
593,0,14,18,-4
595,0,52,52,0
596,0,112,100,12
597,0,57,91,-34
598,0,18,54,-36
599,0,61,57,4
601,0,16,29,-13
602,0,9,11,-2
603,0,76,54,22
605,0,207,247,-40
609,0,3,17,-14
611,0,81,78,3
612,0,107,84,23
613,0,14,6,8
616,0,5,2,3
617,0,132,191,-59
618,0,83,80,3
620,0,180,158,22
624,0,84,100,-16
625,0,4,7,-3
626,0,11,19,-8
628,0,32,29,3
629,0,6,22,-16
630,0,5,17,-12
632,0,43,64,-21
635,0,40,16,24
636,0,32,60,-28
637,0,200,222,-22
640,0,14,2,12
642,0,12,30,-18
643,0,8,13,-5
644,0,21,40,-19
646,0,7,2,5
647,0,35,30,5
648,0,13,18,-5
651,0,4,6,-2
652,0,23,18,5
655,0,26,4,22
656,0,3,2,1
657,0,30,35,-5
658,0,20,7,13
659,0,49,10,39
662,0,144,196,-52
663,0,70,47,23
664,0,12,32,-20
665,0,471,453,18
669,0,32,24,8
670,0,5,22,-17
671,0,3,40,-37
672,0,61,117,-56
675,0,38,25,13
677,0,128,118,10
678,0,151,161,-10
679,0,73,39,34
680,0,25,66,-41
681,0,54,64,-10
682,0,126,91,35
684,0,11,36,-25
685,0,36,79,-43
686,0,162,187,-25
687,0,111,79,32
689,0,43,82,-39
694,0,10,24,-14
695,0,2,59,-57
697,0,142,179,-37
700,0,7,68,-61
701,0,23,10,13
702,0,26,61,-35
703,0,13,73,-60
704,0,9,64,-55
705,0,90,85,5
706,0,4,3,1
708,0,63,57,6
711,0,35,43,-8
712,0,6,16,-10
715,0,27,70,-43
716,0,25,54,-29
717,0,1,15,-14
718,0,21,10,11
719,0,7,9,-2
723,0,23,36,-13
725,0,30,21,9
726,0,76,45,31
727,0,14,10,4
729,0,53,90,-37
731,0,33,28,5
734,0,27,14,13
736,0,107,72,35
737,0,18,48,-30
740,0,256,230,26
741,0,92,129,-37
742,0,54,42,12
746,0,3,45,-42
747,0,302,362,-60
748,0,42,14,28
750,0,16,3,13
751,0,9,15,-6
752,0,40,70,-30
753,0,42,14,28
754,0,16,21,-5
758,0,87,83,4
761,0,38,33,5
762,0,10,12,-2
764,0,2,5,-3
770,0,35,65,-30
775,0,37,14,23
778,0,28,80,-52
779,0,2,4,-2
781,0,50,82,-32
782,0,64,83,-19
783,0,52,27,25
785,0,34,24,10
786,0,31,27,4
787,0,55,60,-5
790,0,20,14,6
791,0,1,20,-19
793,0,99,116,-17
794,0,12,31,-19
796,0,17,18,-1
797,0,55,33,22
798,0,2,51,-49
800,0,12,10,2
801,0,32,26,6
802,0,29,26,3
804,0,2,0,2
807,0,21,5,16
808,0,16,9,7
809,0,49,72,-23
810,0,22,4,18
811,0,25,26,-1
813,0,36,67,-31
814,0,87,49,38
817,0,4,8,-4
818,0,13,46,-33
819,0,2,16,-14
821,0,4,57,-53
822,0,27,33,-6
823,0,1,38,-37
824,0,51,48,3
825,0,36,26,10
826,0,47,2,45
828,0,2,37,-35
829,0,5,5,0
832,0,200,148,52
833,0,37,22,15
834,0,200,173,27
836,0,132,136,-4
841,0,78,25,53
842,0,27,43,-16
844,0,2,2,0
846,0,32,90,-58
847,0,80,68,12
851,0,12,40,-28
852,0,23,29,-6
855,0,39,13,26
858,0,4,40,-36
859,0,10,1,9
861,0,5,6,-1
862,0,18,23,-5
863,0,61,75,-14
864,0,37,69,-32
867,0,39,94,-55
868,0,1,7,-6
872,0,8,22,-14
873,0,3,13,-10
874,0,22,33,-11
875,0,8,4,4
876,0,27,70,-43
878,0,74,118,-44
879,0,71,122,-51
880,0,112,71,41
881,0,18,26,-8
883,0,27,52,-25
885,0,11,47,-36
890,0,34,21,13
892,0,4,10,-6
893,0,124,93,31
896,0,2,4,-2
898,0,67,36,31
899,0,15,44,-29
900,0,210,215,-5
901,0,3,19,-16
902,0,21,55,-34
903,0,55,19,36
904,0,42,17,25
905,0,32,63,-31
906,0,74,131,-57
907,0,1758,1746,12
908,0,3,27,-24
910,0,12,49,-37
911,0,168,140,28
912,0,59,34,25
914,0,42,54,-12
918,0,7,42,-35
919,0,20,23,-3
920,0,57,64,-7
921,0,2,3,-1
922,0,1,16,-15
923,0,79,30,49
924,0,823,880,-57
926,0,40,73,-33
927,0,24,45,-21
928,0,72,70,2
931,0,18,26,-8
933,0,37,29,8
934,0,59,53,6
935,0,5,25,-20
936,0,6,6,0
938,0,3,9,-6
941,0,31,46,-15
946,0,50,108,-58
948,0,4,10,-6
950,0,15,26,-11
954,0,16,4,12
955,0,15,6,9
956,0,29,54,-25
957,0,178,144,34
958,0,45,60,-15
959,0,10,41,-31
961,0,156,134,22
962,0,18,27,-9
963,0,80,28,52
964,0,57,22,35
965,0,48,19,29
970,0,10,21,-11
971,0,369,363,6
972,0,18,20,-2
973,0,28,59,-31
974,0,36,67,-31
978,0,103,133,-30
979,0,16,41,-25
980,0,9,6,3
983,0,488,526,-38
984,0,88,49,39
985,0,8,15,-7
987,0,6,16,-10
988,0,38,74,-36
991,0,8,19,-11
992,0,38,26,12
993,0,11,22,-11
994,0,11,27,-16
995,0,1,62,-61
998,0,49,39,10
999,0,68,30,38
1001,0,5,13,-8
1002,0,1,3,-2
1006,0,4,58,-54
1008,0,24,3,21
1009,0,15,75,-60
1012,0,9,1,8
1013,0,81,67,14
1014,0,213,223,-10
1016,0,11,28,-17
1017,0,16,41,-25
1018,0,11,9,2
1019,0,11,12,-1
1020,0,15,37,-22
1024,0,33,52,-19
1026,0,53,110,-57
1030,0,1188,1222,-34
1032,0,5,2,3
1033,0,65,94,-29
1034,0,88,138,-50
1038,0,18,14,4
1039,0,2105,2158,-53
1040,0,27,38,-11
1043,0,90,39,51
1046,0,11,19,-8
1051,0,20,27,-7
1052,0,20,26,-6
1054,0,29,21,8
1055,0,8,62,-54
1056,0,4,4,0
1057,0,170,182,-12
1058,0,12,25,-13
1060,0,76,32,44
1061,0,91,69,22
1066,0,2,5,-3
1068,0,3,6,-3
1074,0,2,35,-33
1075,0,90,76,14
1076,0,12,29,-17
1078,0,5,51,-46
1079,0,6,4,2
1082,0,25,4,21
1083,0,13,33,-20
1084,0,59,40,19
1085,0,9,3,6
1086,0,173,189,-16
1089,0,8,12,-4
1091,0,4,4,0
1092,0,4,1,3
1094,0,20,1,19
1095,0,31,68,-37
1097,0,11,5,6
1098,0,66,57,9
1099,0,20,10,10
1100,0,8,30,-22
1101,0,6,12,-6
1102,0,111,64,47
1103,0,15,37,-22
1104,0,3,3,0
1105,0,22,20,2
1108,0,13,19,-6
1110,0,111,130,-19
1111,0,22,20,2
1112,0,8,17,-9
1113,0,2,17,-15
1116,0,3,58,-55
1119,0,34,87,-53
1121,0,15,13,2
1122,0,27,42,-15
1126,0,10,21,-11
1127,0,11,10,1
1129,0,25,11,14
1131,0,10,6,4
1132,0,41,34,7
1133,0,15,17,-2
1135,0,18,5,13
1137,0,36,44,-8
1139,0,33,17,16
1141,0,9,15,-6
1143,0,8,18,-10
1144,0,32,55,-23
1145,0,6,23,-17
1146,0,1,7,-6
1148,0,91,105,-14
1150,0,53,89,-36
1151,0,1,5,-4
1152,0,47,20,27
1154,0,36,39,-3
1155,0,64,15,49
1156,0,15,4,11
1160,0,18,9,9
1162,0,2,11,-9
1163,0,115,138,-23
1164,0,37,18,19
1165,0,21,26,-5
1168,0,1,4,-3
1170,0,16,2,14
1173,0,20,56,-36
1174,0,5,36,-31
1175,0,176,221,-45
1176,0,19,20,-1
1178,0,883,913,-30
1181,0,61,42,19
1184,0,3,28,-25
1189,0,54,27,27
1190,0,5,43,-38
1191,0,30,23,7
1193,0,3,50,-47
1195,0,17,67,-50
1198,0,8,17,-9
1199,0,19,39,-20
1200,0,21,29,-8
1203,0,58,56,2
1208,0,24,5,19
1209,0,14,14,0
1211,0,5,10,-5
1212,0,1,5,-4
1213,0,7,43,-36
1214,0,20,32,-12
1215,0,25,33,-8
1216,0,253,208,45
1217,0,3,12,-9
1218,0,23,27,-4
1220,0,4,24,-20
1222,0,16,19,-3
1223,0,71,69,2
1227,0,42,12,30
1230,0,11,13,-2
1231,0,61,112,-51
1235,0,9,3,6
1236,0,11,13,-2
1237,0,3,8,-5
1239,0,16,77,-61
1240,0,198,230,-32
1243,0,22,20,2
1244,0,106,105,1
1245,0,1,1,0
1246,0,9,59,-50
1250,0,26,37,-11
1251,0,15,25,-10
1254,0,158,105,53
1257,0,4,11,-7
1258,0,18,7,11
1259,0,49,34,15
1264,0,65,71,-6
1267,0,2,14,-12
1268,0,8,14,-6
1269,0,41,2,39
1270,0,58,82,-24
1278,0,5,33,-28
1279,0,4,2,2
1280,0,69,43,26
1281,0,24,3,21
1286,0,66,28,38
1287,0,19,45,-26
1288,0,131,187,-56
1290,0,36,15,21
1293,0,626,584,42
1294,0,62,93,-31
1296,0,4,7,-3
1297,0,5,6,-1
1298,0,65,33,32
1301,0,152,112,40
1303,0,7,5,2
1304,0,26,43,-17
1306,0,2,10,-8
1307,0,32,78,-46
1309,0,11,16,-5
1310,0,22,27,-5
1312,0,30,55,-25
1314,0,129,149,-20
1315,0,40,86,-46
1316,0,18,40,-22
1319,0,54,73,-19
1320,0,3,5,-2
1322,0,14,14,0
1323,0,48,47,1
1324,0,24,5,19
1326,0,60,34,26
1327,0,72,89,-17
1331,0,8,58,-50
1332,0,23,4,19
1341,0,47,68,-21
1342,0,30,72,-42
1344,0,8,53,-45
1345,0,33,27,6
1346,0,31,9,22
1347,0,4,20,-16
1350,0,10,30,-20
1351,0,41,59,-18
1352,0,15,15,0
1354,0,9,15,-6
1356,0,4,19,-15
1360,0,5,18,-13
1361,0,22,48,-26
1363,0,33,44,-11
1365,0,116,157,-41
1366,0,15,18,-3
1368,0,40,21,19
1369,0,21,10,11
1370,0,22,11,11
1371,0,17,62,-45
1374,0,50,19,31
1376,0,3,9,-6
1377,0,14,20,-6
1379,0,12,35,-23
1381,0,4,0,4
1385,0,14,63,-49
1386,0,66,102,-36
1387,0,63,12,51
1388,0,32,62,-30
1391,0,33,54,-21
1392,0,3,12,-9
1395,0,24,14,10
1397,0,20,30,-10
1399,0,12,11,1
1400,0,5,6,-1
1401,0,32,2,30
1402,0,17,6,11
1404,0,2,9,-7
1405,0,28,34,-6
1406,0,1,12,-11
1407,0,8,10,-2
1408,0,30,63,-33
1409,0,21,21,0
1411,0,5,8,-3
1413,0,2,3,-1
1415,0,29,32,-3
1416,0,34,85,-51
1419,0,67,96,-29
1420,0,24,0,24
1421,0,173,167,6
1423,0,19,41,-22
1427,0,44,73,-29
1428,0,1,26,-25
1430,0,46,35,11
1431,0,33,17,16
1435,0,34,25,9
1436,0,20,8,12
1439,0,36,56,-20
1440,0,4,7,-3
1441,0,44,53,-9
1442,0,11,32,-21
1443,0,2,14,-12
1445,0,63,22,41
1446,0,25,25,0
1449,0,47,62,-15
1453,0,30,43,-13
1457,0,11,21,-10
1458,0,77,47,30
1460,0,1,22,-21
1461,0,42,62,-20
1463,0,95,108,-13
1467,0,12,48,-36
1468,0,11,9,2
1469,0,38,32,6
1473,0,14,34,-20
1474,0,4,4,0
1476,0,18,35,-17
1477,0,10,30,-20
1478,0,27,6,21
1480,0,3,16,-13
1482,0,20,22,-2
1485,0,36,1,35
1486,0,8,10,-2
1487,0,70,56,14
1488,0,77,51,26
1490,0,119,108,11
1491,0,8,15,-7
1492,0,50,66,-16
1494,0,12,37,-25
1496,0,7,26,-19
1497,0,51,28,23
1498,0,46,51,-5
1499,0,13,68,-55
1502,0,34,24,10
1503,0,26,24,2
1505,0,13,16,-3
1506,0,11,59,-48
1508,0,32,7,25
1509,0,49,94,-45
1510,0,129,126,3
1515,0,77,90,-13
1516,0,57,49,8
1517,0,8,2,6
1518,0,10,18,-8
1519,0,9,16,-7
1520,0,17,33,-16
1521,0,14,16,-2
1522,0,50,47,3
1523,0,8,8,0
1525,0,10,56,-46
1526,0,33,57,-24
1527,0,13,23,-10
1529,0,25,18,7
1531,0,96,72,24
1533,0,26,41,-15
1534,0,59,48,11
1536,0,7,26,-19
1537,0,50,58,-8
1538,0,2,1,1
1539,0,4,9,-5
1540,0,5,4,1
1541,0,103,52,51
1544,0,69,75,-6
1545,0,31,15,16
1547,0,8,61,-53
1549,0,1,13,-12
1552,0,54,23,31
1555,0,24,82,-58
1557,0,25,11,14
1559,0,41,37,4
1560,0,1,4,-3
1561,0,41,11,30
1563,0,60,107,-47
1564,0,30,19,11
1566,0,21,27,-6
1568,0,24,54,-30
1570,0,59,52,7
1571,0,10,8,2
1573,0,72,24,48
1574,0,8,20,-12
1576,0,21,10,11
1577,0,39,54,-15
1580,0,108,80,28
1581,0,24,26,-2
1582,0,12,8,4
1584,0,17,16,1
1585,0,273,264,9
1586,0,28,24,4
1587,0,103,97,6
1588,0,88,103,-15
1591,0,10,9,1
1594,0,11,42,-31
1595,0,660,704,-44
1596,0,20,26,-6
1598,0,42,9,33
1601,0,24,9,15
1603,0,36,12,24
1605,0,556,520,36
1610,0,94,126,-32
1614,0,43,22,21
1615,0,21,38,-17
1616,0,160,129,31
1617,0,37,51,-14
1618,0,295,287,8
1619,0,47,62,-15
1621,0,57,53,4
1622,0,60,50,10
1623,0,115,80,35
1624,0,3,18,-15
1625,0,69,93,-24
1628,0,4,27,-23
1629,0,28,36,-8
1631,0,5,2,3
1634,0,5,4,1
1636,0,31,21,10
1637,0,59,92,-33
1638,0,1,1,0
1639,0,15,30,-15
1642,0,22,35,-13
1643,0,85,129,-44
1644,0,127,117,10
1646,0,89,63,26
1647,0,121,165,-44
1648,0,16,7,9
1649,0,2,25,-23
1650,0,16,28,-12
1651,0,20,25,-5
1655,0,205,173,32
1656,0,6,2,4
1658,0,30,21,9
1663,0,5,33,-28
1664,0,45,14,31
1665,0,19,17,2
1666,0,679,706,-27
1668,0,7,4,3
1670,0,255,205,50
1672,0,17,31,-14
1674,0,10,27,-17
1676,0,62,33,29
1678,0,7,11,-4
1681,0,94,44,50
1682,0,93,114,-21
1684,0,1,0,1
1685,0,70,33,37
1686,0,21,16,5
1689,0,30,13,17
1690,0,58,55,3
1691,0,59,18,41
1693,0,1,6,-5
1694,0,103,73,30
1695,0,35,69,-34
1696,0,50,28,22
1698,0,29,12,17
1699,0,96,49,47
1700,0,7,19,-12
1701,0,69,55,14
1704,0,33,73,-40
1706,0,86,116,-30
1707,0,16,60,-44
1710,0,58,119,-61
1711,0,70,45,25
1714,0,155,160,-5
1716,0,2,3,-1
1717,0,97,64,33
1718,0,31,14,17
1719,0,3,16,-13
1720,0,18,29,-11
1722,0,143,173,-30
1723,0,522,581,-59
1725,0,372,353,19
1726,0,78,72,6
1727,0,3,2,1
1728,0,6,21,-15
1729,0,42,25,17
1730,0,29,53,-24
1734,0,138,167,-29
1735,0,35,47,-12
1736,0,4,17,-13
1739,0,4,8,-4
1740,0,6,6,0
1741,0,4,15,-11
1743,0,4,11,-7
1746,0,68,19,49
1747,0,26,64,-38
1749,0,1,1,0
1750,0,4,6,-2
1751,0,45,74,-29
1753,0,23,40,-17
1757,0,12,7,5
1763,0,2,2,0
1765,0,7,20,-13
1766,0,1,17,-16
1767,0,62,56,6
1771,0,83,44,39
1772,0,10,56,-46
1774,0,61,21,40
1775,0,23,6,17
1776,0,1,2,-1
1777,0,8,35,-27
1780,0,27,67,-40
1782,0,152,113,39
1784,0,88,98,-10
1787,0,193,183,10
1788,0,63,36,27
1789,0,11,30,-19
1790,0,11,26,-15
1792,0,1167,1149,18
1793,0,6,23,-17
1795,0,10,32,-22
1796,0,3,2,1
1801,0,27,28,-1
1802,0,62,71,-9
1804,0,14,14,0
1805,0,212,229,-17
1806,0,15,57,-42
1807,0,82,75,7
1808,0,26,10,16
1809,0,108,89,19
1812,0,53,50,3
1813,0,1,9,-8
1815,0,83,41,42
1822,0,36,16,20
1823,0,14,35,-21
1826,0,7,40,-33
1829,0,5,5,0
1830,0,16,13,3
1832,0,20,16,4
1836,0,41,64,-23
1837,0,33,29,4
1838,0,68,49,19
1839,0,1,24,-23
1840,0,49,9,40
1841,0,33,19,14
1842,0,106,121,-15
1844,0,3,3,0
1845,0,29,29,0
1847,0,7,33,-26
1848,0,7,0,7
1849,0,40,30,10
1851,0,15,44,-29
1852,0,8,5,3
1854,0,23,22,1
1856,0,66,34,32
1857,0,25,22,3
1858,0,1,11,-10
1859,0,47,67,-20
1860,0,5,2,3
1861,0,29,69,-40
1864,0,5,0,5
1865,0,34,13,21
1866,0,35,86,-51
1867,0,53,18,35
1868,0,25,23,2
1869,0,23,72,-49
1871,0,8,28,-20
1872,0,18,12,6
1874,0,31,47,-16
1876,0,21,70,-49
1877,0,86,55,31
1878,0,3,12,-9
1879,0,23,28,-5
1880,0,4,12,-8
1886,0,5,7,-2
1888,0,26,14,12
1889,0,109,123,-14
1890,0,11,30,-19
1891,0,133,159,-26
1897,0,48,75,-27
1898,0,22,23,-1
1899,0,48,20,28
1902,0,1,3,-2
1904,0,1,4,-3
1907,0,13,61,-48
1910,0,76,48,28
1911,0,4,1,3
1912,0,78,134,-56
1915,0,3,2,1
1917,0,6,10,-4
1921,0,38,62,-24
1923,0,80,92,-12
1924,0,149,159,-10
1925,0,15,37,-22
1926,0,24,25,-1
1928,0,1015,967,48
1929,0,137,92,45
1930,0,60,38,22
1932,0,105,109,-4
1933,0,10,16,-6
1937,0,16,25,-9
1939,0,3,14,-11
1941,0,54,94,-40
1943,0,8,12,-4
1945,0,123,144,-21
1946,0,35,4,31
1948,0,230,234,-4
1949,0,8,17,-9
1950,0,15,9,6
1952,0,71,66,5
1954,0,29,18,11
1955,0,15,54,-39
1956,0,300,277,23
1958,0,16,3,13
1964,0,239,219,20
1966,0,2,3,-1
1968,0,26,65,-39
1970,0,3,4,-1
1971,0,7,38,-31
1973,0,14,12,2
1974,0,20,45,-25
1975,0,6,14,-8
1976,0,64,54,10
1978,0,2,19,-17
1979,0,2,15,-13
1981,0,582,575,7
1982,0,7,16,-9
1983,0,15,4,11
1984,0,33,60,-27
1986,0,17,6,11
1989,0,193,167,26
1990,0,68,83,-15
1994,0,36,14,22
1995,0,22,75,-53
1998,0,104,146,-42
2000,0,8,8,0
2002,0,24,70,-46
2004,0,35,17,18
2005,0,141,134,7
2008,0,13,20,-7
2011,0,21,66,-45
2013,0,45,15,30
2014,0,81,105,-24
2018,0,8,15,-7
2019,0,151,167,-16
2020,0,31,9,22
2021,0,10,16,-6
2022,0,18,26,-8
2026,0,49,77,-28
2027,0,38,13,25
2028,0,26,12,14
2030,0,23,13,10
2032,0,362,400,-38
2033,0,10,12,-2
2035,0,97,72,25
2036,0,39,20,19
2037,0,17,34,-17
2041,0,65,113,-48
2042,0,20,10,10
2043,0,21,32,-11
2044,0,72,67,5
2045,0,44,64,-20
2048,0,19,23,-4
2049,0,19,50,-31
2050,0,1,1,0
2057,0,73,116,-43
2058,0,8,32,-24
2059,0,9,33,-24
2060,0,2,8,-6
2062,0,4,15,-11
2064,0,2,2,0
2065,0,44,15,29
2066,0,17,11,6
2067,0,4,17,-13
2071,0,6,42,-36
2072,0,34,38,-4
2073,0,4,9,-5
2076,0,20,69,-49
2077,0,35,5,30
2078,0,66,28,38
2080,0,66,33,33
2081,0,1,8,-7
2082,0,15,10,5
2084,0,973,992,-19
2088,0,201,168,33
2089,0,2,4,-2
2090,0,5,14,-9
2091,0,41,23,18
2096,0,44,80,-36
2097,0,37,87,-50
2100,0,1,36,-35
2101,0,46,28,18
2102,0,73,114,-41
2104,0,8,10,-2
2105,0,108,102,6
2106,0,514,519,-5
2107,0,8,28,-20
2110,0,32,39,-7
2114,0,112,153,-41
2116,0,10,16,-6
2118,0,279,268,11
2120,0,6,6,0
2121,0,1,32,-31
2124,0,1,41,-40
2125,0,100,129,-29
2126,0,63,29,34
2129,0,5,9,-4
2131,0,11,32,-21
2133,0,11,15,-4
2135,0,71,109,-38
2136,0,135,105,30
2138,0,1202,1175,27
2139,0,3,38,-35
2140,0,2,1,1
2141,0,34,26,8
2142,0,2,2,0
2143,0,4,4,0
2144,0,23,23,0
2145,0,79,84,-5
2148,0,5,3,2
2149,0,3,0,3
2152,0,40,25,15
2153,0,284,302,-18
2155,0,156,129,27
2156,0,130,180,-50
2158,0,8,65,-57
2161,0,11,1,10
2163,0,4,21,-17
2164,0,112,77,35
2165,0,21,15,6
2167,0,87,48,39
2168,0,29,12,17
2170,0,9,8,1
2172,0,4,10,-6
2173,0,5,6,-1
2174,0,50,106,-56
2177,0,9,16,-7
2178,0,24,39,-15
2181,0,227,202,25
2182,0,40,14,26
2184,0,69,33,36
