uid,variant_number,total_active_mins
346,0,118.0
347,0,42.0
348,0,92.0
349,0,8.0
350,0,17.0
351,0,18.0
352,0,9.0
354,0,22.0
355,0,9.0
356,0,80.0
357,0,48.0
360,0,19.0
362,0,16.0
363,0,104.0
364,0,2.0
368,0,51.0
370,0,118.0
371,0,51.0
373,0,34.0
374,0,9.0
376,0,15.0
380,0,16.0
382,0,3.0
383,0,68.0
384,0,12.0
385,0,88.0
386,0,46.0
390,0,40.0
391,0,23.0
392,0,83.0
395,0,14.0
396,0,9.0
398,0,76.0
399,0,10.0
404,0,30.0
406,0,64.0
407,0,64.0
409,0,2.0
412,0,55.0
413,0,68.0
414,0,87.0
415,0,18.0
416,0,53.0
418,0,29.0
419,0,1.0
426,0,1.0
430,0,11.0
431,0,2.0
432,0,2.0
433,0,23.0
434,0,32.0
435,0,21.0
436,0,104.0
437,0,26.0
441,0,39.0
442,0,32.0
443,0,85.0
444,0,1.0
446,0,10.0
447,0,49.0
449,0,4.0
450,0,81.0
451,0,44.0
452,0,21.0
453,0,23.0
454,0,119.0
455,0,13.0
456,0,18.0
458,0,71.0
459,0,18.0
460,0,7.0
461,0,46.0
462,0,39.0
463,0,15.0
465,0,13.0
466,0,5.0
470,0,51.0
471,0,4.0
472,0,36.0
473,0,107.0
474,0,54.0
475,0,24.0
476,0,9.0
477,0,125.0
478,0,57.0
481,0,25.0
482,0,5.0
483,0,25.0
484,0,37.0
485,0,23.0
487,0,11.0
488,0,19.0
489,0,4.0
490,0,26.0
491,0,67.0
492,0,111.0
495,0,34.0
498,0,15.0
499,0,50.0
500,0,22.0
501,0,5.0
502,0,11.0
504,0,12.0
506,0,31.0
508,0,74.0
509,0,1.0
510,0,13.0
511,0,42.0
516,0,62.0
517,0,20.0
518,0,16.0
519,0,1.0
521,0,4.0
522,0,38.0
523,0,46.0
525,0,5.0
526,0,9.0
527,0,63.0
528,0,15.0
529,0,41.0
530,0,90.0
532,0,26.0
533,0,25.0
534,0,59.0
535,0,110.0
536,0,46.0
539,0,4.0
540,0,3.0
546,0,34.0
547,0,91.0
551,0,31.0
552,0,3.0
554,0,27.0
555,0,37.0
559,0,21.0
560,0,51.0
562,0,1.0
563,0,96.0
564,0,86.0
567,0,6.0
568,0,102.0
569,0,85.0
570,0,79.0
572,0,26.0
574,0,5.0
576,0,1.0
577,0,49.0
580,0,19.0
581,0,8.0
582,0,4.0
583,0,16.0
584,0,12.0
587,0,28.0
589,0,70.0
590,0,33.0
593,0,14.0
594,0,67.0
595,0,52.0
596,0,112.0
597,0,57.0
598,0,18.0
599,0,61.0
600,0,10.0
601,0,16.0
602,0,9.0
603,0,76.0
607,0,111.0
609,0,3.0
611,0,81.0
612,0,107.0
613,0,14.0
614,0,63.0
616,0,5.0
618,0,83.0
619,0,4.0
624,0,84.0
625,0,4.0
626,0,11.0
628,0,32.0
629,0,6.0
630,0,5.0
631,0,59.0
632,0,43.0
635,0,40.0
636,0,32.0
640,0,14.0
642,0,12.0
643,0,8.0
644,0,21.0
646,0,7.0
647,0,35.0
648,0,13.0
649,0,59.0
650,0,10.0
651,0,4.0
652,0,23.0
655,0,26.0
656,0,3.0
657,0,30.0
658,0,20.0
659,0,49.0
663,0,70.0
664,0,12.0
666,0,28.0
667,0,35.0
669,0,32.0
670,0,5.0
671,0,3.0
672,0,61.0
675,0,38.0
679,0,73.0
680,0,25.0
681,0,54.0
682,0,126.0
684,0,11.0
685,0,36.0
687,0,111.0
688,0,80.0
689,0,43.0
690,0,101.0
691,0,103.0
694,0,10.0
695,0,2.0
700,0,7.0
701,0,23.0
702,0,26.0
703,0,13.0
704,0,9.0
705,0,90.0
706,0,4.0
708,0,63.0
710,0,121.0
711,0,35.0
712,0,6.0
715,0,27.0
716,0,25.0
717,0,1.0
718,0,21.0
719,0,7.0
722,0,121.0
723,0,23.0
725,0,30.0
726,0,76.0
727,0,14.0
728,0,6.0
729,0,53.0
730,0,16.0
731,0,33.0
734,0,27.0
736,0,107.0
737,0,18.0
741,0,92.0
742,0,54.0
746,0,3.0
748,0,42.0
750,0,16.0
751,0,9.0
752,0,40.0
753,0,42.0
754,0,16.0
755,0,42.0
758,0,87.0
760,0,106.0
761,0,38.0
762,0,10.0
763,0,18.0
764,0,2.0
769,0,61.0
770,0,35.0
775,0,37.0
777,0,51.0
778,0,28.0
779,0,2.0
780,0,3.0
781,0,50.0
782,0,64.0
783,0,52.0
784,0,75.0
785,0,34.0
786,0,31.0
787,0,55.0
788,0,78.0
789,0,43.0
790,0,20.0
791,0,1.0
793,0,99.0
794,0,12.0
795,0,91.0
796,0,17.0
797,0,55.0
798,0,2.0
800,0,12.0
801,0,32.0
802,0,29.0
804,0,2.0
806,0,8.0
807,0,21.0
808,0,16.0
809,0,49.0
810,0,22.0
811,0,25.0
813,0,36.0
814,0,87.0
817,0,4.0
818,0,13.0
819,0,2.0
821,0,4.0
822,0,27.0
823,0,1.0
824,0,51.0
825,0,36.0
826,0,47.0
828,0,2.0
829,0,5.0
831,0,112.0
833,0,37.0
835,0,23.0
838,0,44.0
841,0,78.0
842,0,27.0
844,0,2.0
846,0,32.0
847,0,80.0
849,0,122.0
851,0,12.0
852,0,23.0
855,0,39.0
858,0,4.0
859,0,10.0
861,0,5.0
862,0,18.0
863,0,61.0
864,0,37.0
866,0,10.0
867,0,39.0
868,0,1.0
869,0,121.0
872,0,8.0
873,0,3.0
874,0,22.0
875,0,8.0
876,0,27.0
877,0,31.0
878,0,74.0
879,0,71.0
880,0,112.0
881,0,18.0
883,0,27.0
885,0,11.0
887,0,11.0
888,0,21.0
890,0,34.0
891,0,113.0
892,0,4.0
893,0,124.0
894,0,43.0
896,0,2.0
898,0,67.0
899,0,15.0
901,0,3.0
902,0,21.0
903,0,55.0
904,0,42.0
905,0,32.0
906,0,74.0
908,0,3.0
910,0,12.0
912,0,59.0
914,0,42.0
918,0,7.0
919,0,20.0
920,0,57.0
921,0,2.0
922,0,1.0
923,0,79.0
926,0,40.0
927,0,24.0
928,0,72.0
931,0,18.0
933,0,37.0
934,0,59.0
935,0,5.0
936,0,6.0
938,0,3.0
941,0,31.0
945,0,23.0
946,0,50.0
948,0,4.0
950,0,15.0
954,0,16.0
955,0,15.0
956,0,29.0
958,0,45.0
959,0,10.0
960,0,16.0
962,0,18.0
963,0,80.0
964,0,57.0
965,0,48.0
970,0,10.0
972,0,18.0
973,0,28.0
974,0,36.0
977,0,112.0
978,0,103.0
979,0,16.0
980,0,9.0
984,0,88.0
985,0,8.0
986,0,19.0
987,0,6.0
988,0,38.0
989,0,126.0
991,0,8.0
992,0,38.0
993,0,11.0
994,0,11.0
995,0,1.0
998,0,49.0
999,0,68.0
1001,0,5.0
1002,0,1.0
1003,0,78.0
1004,0,116.0
1006,0,4.0
1007,0,116.0
1008,0,24.0
1009,0,15.0
1011,0,2.0
1012,0,9.0
1013,0,81.0
1016,0,11.0
1017,0,16.0
1018,0,11.0
1019,0,11.0
1020,0,15.0
1022,0,91.0
1024,0,33.0
1025,0,99.0
1026,0,53.0
1027,0,94.0
1032,0,5.0
1033,0,65.0
1034,0,88.0
1038,0,18.0
1040,0,27.0
1043,0,90.0
1046,0,11.0
1048,0,33.0
1051,0,20.0
1052,0,20.0
1054,0,29.0
1055,0,8.0
1056,0,4.0
1058,0,12.0
1060,0,76.0
1061,0,91.0
1064,0,124.0
1066,0,2.0
1068,0,3.0
1074,0,2.0
1075,0,90.0
1076,0,12.0
1078,0,5.0
1079,0,6.0
1082,0,25.0
1083,0,13.0
1084,0,59.0
1085,0,9.0
1088,0,71.0
1089,0,8.0
1090,0,49.0
1091,0,4.0
1092,0,4.0
1094,0,20.0
1095,0,31.0
1097,0,11.0
1098,0,66.0
1099,0,20.0
1100,0,8.0
1101,0,6.0
1102,0,111.0
1103,0,15.0
1104,0,3.0
1105,0,22.0
1108,0,13.0
1110,0,111.0
1111,0,22.0
1112,0,8.0
1113,0,2.0
1114,0,113.0
1116,0,3.0
1118,0,86.0
1119,0,34.0
1121,0,15.0
1122,0,27.0
1125,0,110.0
1126,0,10.0
1127,0,11.0
1129,0,25.0
1131,0,10.0
1132,0,41.0
1133,0,15.0
1135,0,18.0
1136,0,20.0
1137,0,36.0
1139,0,33.0
1141,0,9.0
1143,0,8.0
1144,0,32.0
1145,0,6.0
1146,0,1.0
1148,0,91.0
1150,0,53.0
1151,0,1.0
1152,0,47.0
1153,0,90.0
1154,0,36.0
1155,0,64.0
1156,0,15.0
1160,0,18.0
1162,0,2.0
1163,0,115.0
1164,0,37.0
1165,0,21.0
1168,0,1.0
1170,0,16.0
1171,0,52.0
1173,0,20.0
1174,0,5.0
1176,0,19.0
1181,0,61.0
1184,0,3.0
1185,0,37.0
1189,0,54.0
1190,0,5.0
1191,0,30.0
1193,0,3.0
1195,0,17.0
1196,0,78.0
1198,0,8.0
1199,0,19.0
1200,0,21.0
1201,0,3.0
1203,0,58.0
1204,0,60.0
1207,0,72.0
1208,0,24.0
1209,0,14.0
1211,0,5.0
1212,0,1.0
1213,0,7.0
1214,0,20.0
1215,0,25.0
1217,0,3.0
1218,0,23.0
1220,0,4.0
1222,0,16.0
1223,0,71.0
1224,0,122.0
1226,0,67.0
1227,0,42.0
1230,0,11.0
1231,0,61.0
1234,0,71.0
1235,0,9.0
1236,0,11.0
1237,0,3.0
1239,0,16.0
1243,0,22.0
1244,0,106.0
1245,0,1.0
1246,0,9.0
1247,0,94.0
1248,0,41.0
1250,0,26.0
1251,0,15.0
1257,0,4.0
1258,0,18.0
1259,0,49.0
1264,0,65.0
1267,0,2.0
1268,0,8.0
1269,0,41.0
1270,0,58.0
1274,0,69.0
1278,0,5.0
1279,0,4.0
1280,0,69.0
1281,0,24.0
1286,0,66.0
1287,0,19.0
1289,0,59.0
1290,0,36.0
1294,0,62.0
1296,0,4.0
1297,0,5.0
1298,0,65.0
1303,0,7.0
1304,0,26.0
1306,0,2.0
1307,0,32.0
1309,0,11.0
1310,0,22.0
1311,0,5.0
1312,0,30.0
1315,0,40.0
1316,0,18.0
1318,0,115.0
1319,0,54.0
1320,0,3.0
1322,0,14.0
1323,0,48.0
1324,0,24.0
1325,0,76.0
1326,0,60.0
1327,0,72.0
1331,0,8.0
1332,0,23.0
1337,0,101.0
1341,0,47.0
1342,0,30.0
1344,0,8.0
1345,0,33.0
1346,0,31.0
1347,0,4.0
1349,0,124.0
1350,0,10.0
1351,0,41.0
1352,0,15.0
1354,0,9.0
1356,0,4.0
1357,0,47.0
1360,0,5.0
1361,0,22.0
1362,0,89.0
1363,0,33.0
1364,0,24.0
1365,0,116.0
1366,0,15.0
1368,0,40.0
1369,0,21.0
1370,0,22.0
1371,0,17.0
1372,0,98.0
1373,0,33.0
1374,0,50.0
1376,0,3.0
1377,0,14.0
1379,0,12.0
1381,0,4.0
1384,0,37.0
1385,0,14.0
1386,0,66.0
1387,0,63.0
1388,0,32.0
1391,0,33.0
1392,0,3.0
1393,0,14.0
1395,0,24.0
1397,0,20.0
1399,0,12.0
1400,0,5.0
1401,0,32.0
1402,0,17.0
1403,0,39.0
1404,0,2.0
1405,0,28.0
1406,0,1.0
1407,0,8.0
1408,0,30.0
1409,0,21.0
1411,0,5.0
1413,0,2.0
1415,0,29.0
1416,0,34.0
1419,0,67.0
1420,0,24.0
1423,0,19.0
1427,0,44.0
1428,0,1.0
1430,0,46.0
1431,0,33.0
1433,0,126.0
1435,0,34.0
1436,0,20.0
1437,0,63.0
1439,0,36.0
1440,0,4.0
1441,0,44.0
1442,0,11.0
1443,0,2.0
1445,0,63.0
1446,0,25.0
1449,0,47.0
1453,0,30.0
1457,0,11.0
1458,0,77.0
1460,0,1.0
1461,0,42.0
1463,0,95.0
1466,0,18.0
1467,0,12.0
1468,0,11.0
1469,0,38.0
1470,0,124.0
1471,0,71.0
1473,0,14.0
1474,0,4.0
1476,0,18.0
1477,0,10.0
1478,0,27.0
1480,0,3.0
1481,0,67.0
1482,0,20.0
1485,0,36.0
1486,0,8.0
1487,0,70.0
1488,0,77.0
1489,0,65.0
1490,0,119.0
1491,0,8.0
1492,0,50.0
1494,0,12.0
1496,0,7.0
1497,0,51.0
1498,0,46.0
1499,0,13.0
1501,0,16.0
1502,0,34.0
1503,0,26.0
1504,0,99.0
1505,0,13.0
1506,0,11.0
1508,0,32.0
1509,0,49.0
1514,0,27.0
1515,0,77.0
1516,0,57.0
1517,0,8.0
1518,0,10.0
1519,0,9.0
1520,0,17.0
1521,0,14.0
1522,0,50.0
1523,0,8.0
1525,0,10.0
1526,0,33.0
1527,0,13.0
1528,0,55.0
1529,0,25.0
1531,0,96.0
1533,0,26.0
1534,0,59.0
1536,0,7.0
1537,0,50.0
1538,0,2.0
1539,0,4.0
1540,0,5.0
1541,0,103.0
1544,0,69.0
1545,0,31.0
1546,0,121.0
1547,0,8.0
1549,0,1.0
1550,0,121.0
1552,0,54.0
1555,0,24.0
1557,0,25.0
1559,0,41.0
1560,0,1.0
1561,0,41.0
1563,0,60.0
1564,0,30.0
1566,0,21.0
1568,0,24.0
1569,0,78.0
1570,0,59.0
1571,0,10.0
1572,0,15.0
1573,0,72.0
1574,0,8.0
1575,0,93.0
1576,0,21.0
1577,0,39.0
1580,0,108.0
1581,0,24.0
1582,0,12.0
1584,0,17.0
1586,0,28.0
1587,0,103.0
1588,0,88.0
1591,0,10.0
1592,0,88.0
1593,0,109.0
1594,0,11.0
1596,0,20.0
1598,0,42.0
1601,0,24.0
1603,0,36.0
1610,0,94.0
1611,0,109.0
1612,0,56.0
1614,0,43.0
1615,0,21.0
1617,0,37.0
1619,0,47.0
1621,0,57.0
1622,0,60.0
1623,0,115.0
1624,0,3.0
1625,0,69.0
1627,0,86.0
1628,0,4.0
1629,0,28.0
1631,0,5.0
1634,0,5.0
1636,0,31.0
1637,0,59.0
1638,0,1.0
1639,0,15.0
1641,0,108.0
1642,0,22.0
1643,0,85.0
1645,0,24.0
1646,0,89.0
1647,0,121.0
1648,0,16.0
1649,0,2.0
1650,0,16.0
1651,0,20.0
1652,0,58.0
1653,0,80.0
1656,0,6.0
1657,0,93.0
1658,0,30.0
1660,0,73.0
1663,0,5.0
1664,0,45.0
1665,0,19.0
1668,0,7.0
1669,0,29.0
1672,0,17.0
1674,0,10.0
1676,0,62.0
1678,0,7.0
1680,0,95.0
1681,0,94.0
1682,0,93.0
1683,0,28.0
1684,0,1.0
1685,0,70.0
1686,0,21.0
1689,0,30.0
1690,0,58.0
1691,0,59.0
1692,0,89.0
1693,0,1.0
1694,0,103.0
1695,0,35.0
1696,0,50.0
1697,0,10.0
1698,0,29.0
1699,0,96.0
1700,0,7.0
1701,0,69.0
1704,0,33.0
1706,0,86.0
1707,0,16.0
1710,0,58.0
1711,0,70.0
1712,0,54.0
1713,0,20.0
1716,0,2.0
1717,0,97.0
1718,0,31.0
1719,0,3.0
1720,0,18.0
1726,0,78.0
1727,0,3.0
1728,0,6.0
1729,0,42.0
1730,0,29.0
1735,0,35.0
1736,0,4.0
1737,0,90.0
1739,0,4.0
1740,0,6.0
1741,0,4.0
1742,0,5.0
1743,0,4.0
1746,0,68.0
1747,0,26.0
1748,0,29.0
1749,0,1.0
1750,0,4.0
1751,0,45.0
1752,0,16.0
1753,0,23.0
1757,0,12.0
1758,0,60.0
1763,0,2.0
1765,0,7.0
1766,0,1.0
1767,0,62.0
1771,0,83.0
1772,0,10.0
1774,0,61.0
1775,0,23.0
1776,0,1.0
1777,0,8.0
1780,0,27.0
1784,0,88.0
1788,0,63.0
1789,0,11.0
1790,0,11.0
1791,0,52.0
1793,0,6.0
1795,0,10.0
1796,0,3.0
1797,0,11.0
1798,0,104.0
1800,0,68.0
1801,0,27.0
1802,0,62.0
1804,0,14.0
1806,0,15.0
1807,0,82.0
1808,0,26.0
1809,0,108.0
1811,0,79.0
1812,0,53.0
1813,0,1.0
1814,0,56.0
1815,0,83.0
1822,0,36.0
1823,0,14.0
1826,0,7.0
1828,0,76.0
1829,0,5.0
1830,0,16.0
1831,0,35.0
1832,0,20.0
1833,0,112.0
1836,0,41.0
1837,0,33.0
1838,0,68.0
1839,0,1.0
1840,0,49.0
1841,0,33.0
1842,0,106.0
1844,0,3.0
1845,0,29.0
1847,0,7.0
1848,0,7.0
1849,0,40.0
1851,0,15.0
1852,0,8.0
1854,0,23.0
1856,0,66.0
1857,0,25.0
1858,0,1.0
1859,0,47.0
1860,0,5.0
1861,0,29.0
1864,0,5.0
1865,0,34.0
1866,0,35.0
1867,0,53.0
1868,0,25.0
1869,0,23.0
1871,0,8.0
1872,0,18.0
1874,0,31.0
1875,0,101.0
1876,0,21.0
1877,0,86.0
1878,0,3.0
1879,0,23.0
1880,0,4.0
1884,0,25.0
1886,0,5.0
1887,0,80.0
1888,0,26.0
1889,0,109.0
1890,0,11.0
1892,0,50.0
1893,0,106.0
1894,0,41.0
1897,0,48.0
1898,0,22.0
1899,0,48.0
1900,0,93.0
1901,0,86.0
1902,0,1.0
1903,0,29.0
1904,0,1.0
1907,0,13.0
1910,0,76.0
1911,0,4.0
1912,0,78.0
1913,0,31.0
1915,0,3.0
1917,0,6.0
1921,0,38.0
1922,0,114.0
1923,0,80.0
1925,0,15.0
1926,0,24.0
1930,0,60.0
1932,0,105.0
1933,0,10.0
1937,0,16.0
1938,0,38.0
1939,0,3.0
1941,0,54.0
1943,0,8.0
1945,0,123.0
1946,0,35.0
1949,0,8.0
1950,0,15.0
1952,0,71.0
1953,0,6.0
1954,0,29.0
1955,0,15.0
1958,0,16.0
1963,0,54.0
1966,0,2.0
1967,0,26.0
1968,0,26.0
1970,0,3.0
1971,0,7.0
1973,0,14.0
1974,0,20.0
1975,0,6.0
1976,0,64.0
1978,0,2.0
1979,0,2.0
1982,0,7.0
1983,0,15.0
1984,0,33.0
1985,0,10.0
1986,0,17.0
1990,0,68.0
1994,0,36.0
1995,0,22.0
1996,0,124.0
1998,0,104.0
2000,0,8.0
2002,0,24.0
2004,0,35.0
2008,0,13.0
2009,0,3.0
2011,0,21.0
2012,0,72.0
2013,0,45.0
2014,0,81.0
2018,0,8.0
2020,0,31.0
2021,0,10.0
2022,0,18.0
2026,0,49.0
2027,0,38.0
2028,0,26.0
2030,0,23.0
2033,0,10.0
2035,0,97.0
2036,0,39.0
2037,0,17.0
2040,0,115.0
2041,0,65.0
2042,0,20.0
2043,0,21.0
2044,0,72.0
2045,0,44.0
2046,0,21.0
2048,0,19.0
2049,0,19.0
2050,0,1.0
2051,0,48.0
2057,0,73.0
2058,0,8.0
2059,0,9.0
2060,0,2.0
2061,0,126.0
2062,0,4.0
2064,0,2.0
2065,0,44.0
2066,0,17.0
2067,0,4.0
2071,0,6.0
2072,0,34.0
2073,0,4.0
2075,0,85.0
2076,0,20.0
2077,0,35.0
2078,0,66.0
2080,0,66.0
2081,0,1.0
2082,0,15.0
2089,0,2.0
2090,0,5.0
2091,0,41.0
2093,0,101.0
2096,0,44.0
2097,0,37.0
2098,0,83.0
2099,0,68.0
2100,0,1.0
2101,0,46.0
2102,0,73.0
2104,0,8.0
2105,0,108.0
2107,0,8.0
2110,0,32.0
2114,0,112.0
2116,0,10.0
2119,0,80.0
2120,0,6.0
2121,0,1.0
2124,0,1.0
2125,0,100.0
2126,0,63.0
2128,0,104.0
2129,0,5.0
2131,0,11.0
2133,0,11.0
2135,0,71.0
2139,0,3.0
2140,0,2.0
2141,0,34.0
2142,0,2.0
2143,0,4.0
2144,0,23.0
2145,0,79.0
2147,0,92.0
2148,0,5.0
2149,0,3.0
2150,0,78.0
2152,0,40.0
2154,0,69.0
2158,0,8.0
2161,0,11.0
2163,0,4.0
2164,0,112.0
2165,0,21.0
2166,0,84.0
2167,0,87.0
2168,0,29.0
2170,0,9.0
2171,0,53.0
2172,0,4.0
2173,0,5.0
2174,0,50.0
2176,0,97.0
2177,0,9.0
2178,0,24.0
2180,0,85.0
2182,0,40.0
2183,0,24.0
2184,0,69.0
2185,0,60.0
2186,0,11.0
2187,0,29.0
2189,0,46.0
2192,0,40.0
2194,0,73.0
2195,0,51.0
2197,0,18.0
2198,0,9.0
2199,0,59.0
2200,0,5.0
2202,0,85.0
2203,0,74.0
2204,0,29.0
2206,0,15.0
2207,0,50.0
2208,0,20.0
2209,0,82.0
2211,0,3.0
2212,0,100.0
2213,0,19.0
2214,0,3.0
2215,0,44.0
2216,0,99.0
2217,0,122.0
2220,0,102.0
2221,0,11.0
2222,0,10.0
2224,0,44.0
2225,0,10.0
2226,0,9.0
2229,0,4.0
2231,0,15.0
2233,0,7.0
2235,0,4.0
2237,0,64.0
2238,0,5.0
2239,0,3.0
2240,0,13.0
2242,0,26.0
2246,0,22.0
2248,0,70.0
2249,0,91.0
2250,0,5.0
2254,0,5.0
2255,0,48.0
2259,0,62.0
2261,0,51.0
2262,0,15.0
2263,0,81.0
2264,0,14.0
2265,0,11.0
2266,0,23.0
2270,0,25.0
2272,0,9.0
2274,0,12.0
2275,0,9.0
2276,0,34.0
2277,0,5.0
2278,0,25.0
2280,0,45.0
2281,0,102.0
2283,0,36.0
2285,0,33.0
2287,0,48.0
2288,0,6.0
2289,0,50.0
2290,0,2.0
2291,0,31.0
2292,0,22.0
2293,0,2.0
2294,0,2.0
2295,0,45.0
2296,0,107.0
2297,0,67.0
2298,0,21.0
2299,0,51.0
2301,0,96.0
2302,0,17.0
2303,0,7.0
2305,0,1.0
2306,0,77.0
2308,0,7.0
2311,0,83.0
2312,0,1.0
2316,0,10.0
2317,0,61.0
2318,0,13.0
2319,0,27.0
2321,0,28.0
2322,0,84.0
2326,0,22.0
2327,0,97.0
2328,0,99.0
2329,0,16.0
2330,0,10.0
2331,0,22.0
2332,0,51.0
2333,0,10.0
2334,0,26.0
2335,0,3.0
2337,0,56.0
2338,0,69.0
2339,0,65.0
2340,0,20.0
2341,0,25.0
2342,0,101.0
2344,0,20.0
2346,0,23.0
2348,0,2.0
2350,0,18.0
2351,0,70.0
2356,0,14.0
2357,0,82.0
2358,0,18.0
2360,0,25.0
2361,0,4.0
2362,0,94.0
2364,0,33.0
2365,0,9.0
2368,0,12.0
2369,0,2.0
2370,0,1.0
2371,0,33.0
2373,0,11.0
2374,0,71.0
2375,0,119.0
2376,0,27.0
2379,0,2.0
2380,0,11.0
2381,0,11.0
2382,0,11.0
2383,0,32.0
2384,0,18.0
2387,0,43.0
2388,0,19.0
2389,0,61.0
2390,0,21.0
2391,0,49.0
2392,0,44.0
2395,0,68.0
2399,0,73.0
2400,0,15.0
2401,0,19.0
2402,0,72.0
2403,0,29.0
2406,0,63.0
2407,0,57.0
2408,0,71.0
2409,0,25.0
2410,0,18.0
2411,0,11.0
2413,0,85.0
2414,0,49.0
2416,0,8.0
2417,0,46.0
2418,0,29.0
2420,0,78.0
2421,0,60.0
2424,0,5.0
2426,0,7.0
2428,0,12.0
2430,0,121.0
2431,0,20.0
2434,0,27.0
2435,0,3.0
2436,0,42.0
2438,0,11.0
2440,0,47.0
2444,0,29.0
2445,0,14.0
2446,0,34.0
2447,0,22.0
2448,0,25.0
2449,0,84.0
2451,0,57.0
2452,0,4.0
2453,0,59.0
2455,0,41.0
2456,0,14.0
2457,0,32.0
2459,0,48.0
2461,0,51.0
2462,0,95.0
2463,0,100.0
2464,0,40.0
2465,0,6.0
2466,0,7.0
2468,0,4.0
2472,0,4.0
2473,0,12.0
2474,0,14.0
2475,0,5.0
2476,0,2.0
2477,0,3.0
2478,0,18.0
2480,0,43.0
2481,0,21.0
2482,0,29.0
2483,0,89.0
2484,0,47.0
2487,0,3.0
2488,0,65.0
2489,0,90.0
2492,0,13.0
2496,0,22.0
2497,0,1.0
2498,0,3.0
2499,0,34.0
2500,0,2.0
2503,0,29.0
2504,0,100.0
2506,0,12.0
2507,0,26.0
2508,0,15.0
2509,0,87.0
2510,0,25.0
2511,0,100.0
2512,0,29.0
2514,0,7.0
2515,0,7.0
2516,0,64.0
2518,0,20.0
2521,0,1.0
2522,0,15.0
2528,0,20.0
2529,0,11.0
2530,0,55.0
2532,0,46.0
2533,0,60.0
2534,0,1.0
2536,0,11.0
2538,0,44.0
2539,0,50.0
2540,0,4.0
2541,0,51.0
2543,0,4.0
2545,0,22.0
2546,0,21.0
2547,0,3.0
2548,0,51.0
2549,0,101.0
2550,0,51.0
