uid,variant_number,total_active_mins,gender
184,0,6.0,male
185,0,1636.0,male
186,0,141.0,male
187,0,58.0,female
188,0,11.0,female
189,0,5.0,unknown
190,0,1807.0,female
191,0,790.0,male
192,0,54.0,male
193,0,46.0,female
194,0,38.0,male
195,0,35.0,female
197,0,618.0,unknown
198,0,30.0,male
199,0,2.0,male
200,0,289.0,male
201,0,66.0,male
202,0,12.0,male
203,0,5.0,female
204,0,130.0,female
205,0,47.0,male
206,0,64.0,unknown
207,0,563.0,male
208,0,4.0,male
209,0,517.0,male
210,0,442.0,male
211,0,45.0,female
212,0,675.0,male
213,0,6.0,female
214,0,162.0,female
215,0,81.0,male
216,0,4250.0,male
217,0,5.0,female
218,0,40.0,male
219,0,73.0,female
220,0,41.0,male
221,0,1733.0,male
222,0,8.0,male
223,0,30.0,male
224,0,13.0,male
225,0,2370.0,male
226,0,99.0,male
227,0,147.0,male
228,0,36.0,unknown
229,0,1275.0,male
231,0,211.0,male
232,0,546.0,unknown
233,0,15.0,male
234,0,366.0,female
235,0,2446.0,female
236,0,124.0,male
237,0,75.0,male
238,0,18.0,male
239,0,15.0,male
240,0,1.0,male
241,0,87.0,male
242,0,11.0,male
243,0,210.0,female
245,0,3.0,male
246,0,615.0,female
247,0,29.0,male
248,0,4181.0,male
250,0,175.0,female
251,0,734.0,female
252,0,20.0,unknown
253,0,2322.0,female
254,0,405.0,male
255,0,35.0,male
256,0,54.0,female
257,0,4.0,male
258,0,51.0,female
259,0,1.0,female
260,0,5.0,male
262,0,75.0,male
263,0,2866.0,male
264,0,63.0,male
265,0,22.0,unknown
266,0,10.0,male
267,0,9.0,female
268,0,567.0,male
269,0,61.0,unknown
270,0,27.0,male
271,0,94.0,male
272,0,3.0,female
273,0,544.0,male
274,0,166.0,male
275,0,2.0,unknown
276,0,5.0,unknown
277,0,98.0,female
278,0,184.0,female
279,0,138.0,male
280,0,516.0,male
281,0,392.0,male
282,0,429.0,male
283,0,208.0,male
286,0,20.0,female
287,0,4.0,male
288,0,22.0,male
289,0,44.0,female
290,0,108.0,male
292,0,40.0,female
293,0,2.0,unknown
294,0,48.0,male
295,0,19.0,unknown
296,0,5395.0,female
297,0,127.0,unknown
298,0,91.0,male
299,0,71.0,male
300,0,152.0,unknown
301,0,37.0,unknown
302,0,45.0,male
303,0,127.0,unknown
304,0,1149.0,female
305,0,17.0,female
306,0,90.0,unknown
307,0,60.0,unknown
308,0,45.0,female
309,0,37.0,female
310,0,109.0,male
311,0,1146.0,unknown
312,0,214.0,female
313,0,5.0,female
314,0,13.0,unknown
315,0,1871.0,female
316,0,105.0,male
317,0,622.0,male
318,0,7062.0,female
319,0,164.0,male
323,0,139.0,female
324,0,10.0,unknown
325,0,4.0,female
326,0,242.0,male
327,0,9.0,male
328,0,28.0,unknown
329,0,71.0,male
330,0,20.0,female
331,0,17.0,female
332,0,9.0,female
333,0,25.0,male
334,0,25.0,unknown
335,0,53.0,male
336,0,44.0,male
337,0,38.0,unknown
338,0,113.0,male
339,0,219.0,male
340,0,115.0,male
341,0,2.0,female
342,0,20.0,male
343,0,564.0,female
344,0,36.0,male
345,0,88.0,male
346,0,118.0,male
347,0,42.0,male
348,0,92.0,male
349,0,8.0,unknown
350,0,17.0,male
351,0,18.0,male
352,0,9.0,male
353,0,318.0,male
354,0,22.0,male
355,0,9.0,unknown
356,0,80.0,male
357,0,48.0,female
358,0,515.0,male
359,0,482.0,male
360,0,19.0,male
361,0,2000.0,male
362,0,16.0,male
363,0,104.0,female
364,0,2.0,male
365,0,786.0,male
366,0,3014.0,female
367,0,206.0,male
368,0,51.0,male
369,0,646.0,male
370,0,118.0,male
371,0,51.0,female
373,0,34.0,female
374,0,9.0,male
375,0,130.0,male
376,0,15.0,female
377,0,539.0,unknown
378,0,4144.0,female
379,0,156.0,female
380,0,16.0,male
382,0,3.0,male
383,0,68.0,female
384,0,12.0,male
385,0,88.0,male
386,0,46.0,male
387,0,8503.0,unknown
388,0,1055.0,unknown
389,0,1701.0,male
390,0,40.0,female
391,0,23.0,male
392,0,83.0,female
393,0,159.0,unknown
394,0,1032.0,male
395,0,14.0,female
396,0,9.0,male
397,0,372.0,male
398,0,76.0,male
399,0,10.0,male
400,0,198.0,male
401,0,391.0,female
402,0,194.0,male
404,0,30.0,male
405,0,207.0,male
406,0,64.0,female
407,0,64.0,unknown
408,0,8040.0,male
409,0,2.0,female
410,0,8490.0,male
411,0,316.0,male
412,0,55.0,male
413,0,68.0,male
414,0,87.0,male
415,0,18.0,male
416,0,53.0,male
417,0,2835.0,female
418,0,29.0,unknown
419,0,1.0,male
420,0,2534.0,male
421,0,146.0,male
422,0,376.0,male
423,0,1186.0,male
424,0,5549.0,male
425,0,5904.0,unknown
426,0,1.0,female
427,0,255.0,male
429,0,1386.0,female
430,0,11.0,unknown
431,0,2.0,male
432,0,2.0,female
433,0,23.0,unknown
434,0,32.0,unknown
435,0,21.0,male
436,0,104.0,female
437,0,26.0,male
438,0,149.0,male
439,0,7783.0,male
441,0,39.0,male
442,0,32.0,male
443,0,85.0,male
444,0,1.0,female
445,0,5337.0,female
446,0,10.0,female
447,0,49.0,male
448,0,1476.0,male
449,0,4.0,male
450,0,81.0,female
451,0,44.0,female
452,0,21.0,male
453,0,23.0,unknown
454,0,119.0,male
455,0,13.0,male
456,0,18.0,unknown
457,0,2881.0,unknown
458,0,71.0,male
459,0,18.0,unknown
460,0,7.0,unknown
461,0,46.0,male
462,0,39.0,male
463,0,15.0,male
464,0,215.0,unknown
465,0,13.0,unknown
466,0,5.0,female
467,0,454.0,male
469,0,588.0,male
470,0,51.0,female
471,0,4.0,male
472,0,36.0,male
473,0,107.0,unknown
474,0,54.0,male
475,0,24.0,female
476,0,9.0,female
477,0,125.0,female
478,0,57.0,female
479,0,359.0,male
480,0,202.0,male
481,0,25.0,male
482,0,5.0,unknown
483,0,25.0,male
484,0,37.0,male
485,0,23.0,male
486,0,179.0,unknown
487,0,11.0,female
488,0,19.0,unknown
489,0,4.0,female
490,0,26.0,male
491,0,67.0,unknown
492,0,111.0,male
493,0,434.0,male
494,0,196.0,male
495,0,34.0,female
496,0,129.0,male
497,0,166.0,unknown
498,0,15.0,male
499,0,50.0,male
500,0,22.0,female
501,0,5.0,female
502,0,11.0,unknown
503,0,3484.0,male
504,0,12.0,male
506,0,31.0,female
507,0,149.0,male
508,0,74.0,male
509,0,1.0,male
510,0,13.0,male
511,0,42.0,male
512,0,182.0,unknown
513,0,239.0,male
514,0,2471.0,male
515,0,789.0,male
516,0,62.0,male
517,0,20.0,female
518,0,16.0,male
519,0,1.0,unknown
520,0,173.0,female
521,0,4.0,female
522,0,38.0,unknown
523,0,46.0,male
525,0,5.0,unknown
526,0,9.0,male
527,0,63.0,male
528,0,15.0,female
529,0,41.0,male
530,0,90.0,female
531,0,193.0,male
532,0,26.0,female
533,0,25.0,male
534,0,59.0,male
535,0,110.0,male
536,0,46.0,male
537,0,230.0,male
538,0,341.0,male
539,0,4.0,female
540,0,3.0,female
541,0,747.0,female
542,0,277.0,male
543,0,875.0,male
544,0,5838.0,male
545,0,139.0,unknown
546,0,34.0,female
547,0,91.0,male
548,0,21594.0,male
549,0,130.0,male
550,0,507.0,female
551,0,31.0,unknown
552,0,3.0,female
553,0,354.0,male
554,0,27.0,male
555,0,37.0,unknown
556,0,7035.0,male
558,0,156.0,female
559,0,21.0,male
560,0,51.0,male
561,0,645.0,female
562,0,1.0,male
563,0,96.0,unknown
564,0,86.0,female
566,0,157.0,female
567,0,6.0,female
568,0,102.0,male
569,0,85.0,male
570,0,79.0,female
571,0,133.0,male
572,0,26.0,female
573,0,200.0,female
574,0,5.0,unknown
575,0,398.0,male
576,0,1.0,female
577,0,49.0,unknown
578,0,153.0,female
579,0,226.0,female
580,0,19.0,unknown
581,0,8.0,unknown
582,0,4.0,male
583,0,16.0,male
584,0,12.0,female
585,0,591.0,male
586,0,188.0,male
587,0,28.0,male
589,0,70.0,male
590,0,33.0,unknown
591,0,204.0,male
592,0,855.0,female
593,0,14.0,unknown
594,0,67.0,female
595,0,52.0,female
596,0,112.0,male
597,0,57.0,male
598,0,18.0,male
599,0,61.0,male
600,0,10.0,male
601,0,16.0,female
602,0,9.0,unknown
603,0,76.0,male
605,0,207.0,female
606,0,293.0,male
607,0,111.0,male
608,0,826.0,male
609,0,3.0,male
610,0,151.0,male
611,0,81.0,female
612,0,107.0,female
613,0,14.0,female
614,0,63.0,unknown
616,0,5.0,male
617,0,132.0,male
618,0,83.0,female
619,0,4.0,female
620,0,180.0,male
621,0,233.0,male
622,0,3732.0,female
623,0,224.0,male
624,0,84.0,male
625,0,4.0,male
626,0,11.0,unknown
628,0,32.0,male
629,0,6.0,female
630,0,5.0,male
631,0,59.0,male
632,0,43.0,male
633,0,136.0,male
635,0,40.0,male
636,0,32.0,male
637,0,200.0,male
638,0,234.0,female
639,0,162.0,male
640,0,14.0,male
641,0,384.0,male
642,0,12.0,male
643,0,8.0,male
644,0,21.0,male
646,0,7.0,male
647,0,35.0,unknown
648,0,13.0,male
649,0,59.0,unknown
650,0,10.0,female
651,0,4.0,male
652,0,23.0,male
655,0,26.0,male
656,0,3.0,male
657,0,30.0,male
658,0,20.0,male
659,0,49.0,female
660,0,2771.0,male
662,0,144.0,male
663,0,70.0,male
664,0,12.0,male
665,0,471.0,unknown
666,0,28.0,male
667,0,35.0,male
668,0,5429.0,male
669,0,32.0,unknown
670,0,5.0,male
671,0,3.0,male
672,0,61.0,male
673,0,179.0,male
674,0,5768.0,male
675,0,38.0,female
676,0,244.0,male
677,0,128.0,male
678,0,151.0,male
679,0,73.0,male
680,0,25.0,unknown
681,0,54.0,unknown
682,0,126.0,male
683,0,13376.0,male
684,0,11.0,male
685,0,36.0,male
686,0,162.0,male
687,0,111.0,male
688,0,80.0,female
689,0,43.0,female
690,0,101.0,male
691,0,103.0,male
692,0,1167.0,female
693,0,170.0,female
694,0,10.0,male
695,0,2.0,male
697,0,142.0,unknown
698,0,756.0,male
699,0,342.0,male
700,0,7.0,male
701,0,23.0,female
702,0,26.0,male
703,0,13.0,male
704,0,9.0,male
705,0,90.0,female
706,0,4.0,female
707,0,1370.0,unknown
708,0,63.0,unknown
709,0,388.0,female
710,0,121.0,male
711,0,35.0,male
712,0,6.0,male
713,0,778.0,female
714,0,369.0,male
715,0,27.0,male
716,0,25.0,female
717,0,1.0,female
718,0,21.0,male
719,0,7.0,male
721,0,354.0,male
722,0,121.0,male
723,0,23.0,female
724,0,164.0,male
725,0,30.0,male
726,0,76.0,female
727,0,14.0,female
728,0,6.0,female
729,0,53.0,male
730,0,16.0,male
731,0,33.0,female
732,0,926.0,male
733,0,852.0,male
734,0,27.0,male
735,0,149.0,male
736,0,107.0,female
737,0,18.0,male
738,0,1932.0,male
739,0,989.0,unknown
740,0,256.0,male
741,0,92.0,male
742,0,54.0,male
743,0,1269.0,male
745,0,135.0,male
746,0,3.0,male
747,0,302.0,male
748,0,42.0,male
750,0,16.0,female
751,0,9.0,female
752,0,40.0,male
753,0,42.0,unknown
754,0,16.0,male
755,0,42.0,male
757,0,408.0,female
758,0,87.0,female
759,0,293.0,male
760,0,106.0,female
761,0,38.0,male
762,0,10.0,male
763,0,18.0,male
764,0,2.0,male
765,0,918.0,male
766,0,4233.0,female
767,0,169.0,male
768,0,342.0,female
769,0,61.0,female
770,0,35.0,male
771,0,222.0,female
772,0,275.0,female
773,0,639.0,female
774,0,745.0,unknown
775,0,37.0,male
776,0,552.0,male
777,0,51.0,male
778,0,28.0,male
779,0,2.0,male
780,0,3.0,female
781,0,50.0,female
782,0,64.0,female
783,0,52.0,male
784,0,75.0,male
785,0,34.0,male
786,0,31.0,male
787,0,55.0,female
788,0,78.0,male
789,0,43.0,male
790,0,20.0,unknown
791,0,1.0,male
792,0,407.0,male
793,0,99.0,male
794,0,12.0,female
795,0,91.0,unknown
796,0,17.0,male
797,0,55.0,female
798,0,2.0,female
799,0,463.0,male
800,0,12.0,unknown
801,0,32.0,male
802,0,29.0,female
803,0,186.0,male
804,0,2.0,unknown
806,0,8.0,female
807,0,21.0,female
808,0,16.0,male
809,0,49.0,male
810,0,22.0,male
811,0,25.0,female
812,0,1878.0,unknown
813,0,36.0,male
814,0,87.0,male
815,0,1079.0,male
816,0,149.0,female
817,0,4.0,male
818,0,13.0,male
819,0,2.0,unknown
820,0,299.0,unknown
821,0,4.0,female
822,0,27.0,female
823,0,1.0,unknown
824,0,51.0,female
825,0,36.0,male
826,0,47.0,female
827,0,382.0,male
828,0,2.0,female
829,0,5.0,male
830,0,484.0,male
831,0,112.0,male
832,0,200.0,male
833,0,37.0,unknown
834,0,200.0,female
835,0,23.0,female
836,0,132.0,unknown
837,0,681.0,male
838,0,44.0,male
839,0,197.0,female
841,0,78.0,female
842,0,27.0,female
843,0,468.0,male
844,0,2.0,female
845,0,204.0,male
846,0,32.0,unknown
847,0,80.0,male
848,0,397.0,female
849,0,122.0,male
850,0,5201.0,male
851,0,12.0,female
852,0,23.0,male
855,0,39.0,male
858,0,4.0,male
859,0,10.0,male
861,0,5.0,male
862,0,18.0,male
863,0,61.0,female
864,0,37.0,male
865,0,127.0,female
866,0,10.0,male
867,0,39.0,male
868,0,1.0,male
869,0,121.0,male
871,0,4385.0,male
872,0,8.0,unknown
873,0,3.0,female
874,0,22.0,male
875,0,8.0,female
876,0,27.0,male
877,0,31.0,female
878,0,74.0,male
879,0,71.0,unknown
880,0,112.0,male
881,0,18.0,female
882,0,318.0,male
883,0,27.0,female
884,0,4279.0,male
885,0,11.0,male
886,0,278.0,female
887,0,11.0,male
888,0,21.0,female
889,0,1741.0,male
890,0,34.0,male
891,0,113.0,male
892,0,4.0,female
893,0,124.0,male
894,0,43.0,female
896,0,2.0,male
897,0,882.0,male
898,0,67.0,unknown
899,0,15.0,male
900,0,210.0,female
901,0,3.0,male
902,0,21.0,female
903,0,55.0,female
904,0,42.0,male
905,0,32.0,unknown
906,0,74.0,female
907,0,1758.0,male
908,0,3.0,female
910,0,12.0,unknown
911,0,168.0,male
912,0,59.0,male
913,0,221.0,male
914,0,42.0,male
915,0,128.0,male
916,0,1039.0,male
918,0,7.0,female
919,0,20.0,female
920,0,57.0,male
921,0,2.0,male
922,0,1.0,male
923,0,79.0,male
924,0,823.0,female
925,0,461.0,male
926,0,40.0,female
927,0,24.0,female
928,0,72.0,male
930,0,242.0,male
931,0,18.0,male
932,0,128.0,unknown
933,0,37.0,male
934,0,59.0,male
935,0,5.0,male
936,0,6.0,male
937,0,298.0,male
938,0,3.0,male
939,0,10719.0,male
941,0,31.0,female
942,0,203.0,male
943,0,236.0,male
945,0,23.0,male
946,0,50.0,female
947,0,300.0,male
948,0,4.0,female
950,0,15.0,unknown
951,0,394.0,female
952,0,230.0,male
953,0,238.0,male
954,0,16.0,male
955,0,15.0,male
956,0,29.0,unknown
957,0,178.0,male
958,0,45.0,female
959,0,10.0,male
960,0,16.0,male
961,0,156.0,unknown
962,0,18.0,male
963,0,80.0,female
964,0,57.0,unknown
965,0,48.0,male
967,0,138.0,female
968,0,150.0,male
970,0,10.0,female
971,0,369.0,female
972,0,18.0,female
973,0,28.0,female
974,0,36.0,male
975,0,1658.0,unknown
976,0,362.0,male
977,0,112.0,female
978,0,103.0,male
979,0,16.0,male
980,0,9.0,female
981,0,1053.0,male
982,0,211.0,female
983,0,488.0,male
984,0,88.0,unknown
985,0,8.0,male
986,0,19.0,male
987,0,6.0,unknown
988,0,38.0,male
989,0,126.0,male
990,0,722.0,male
991,0,8.0,male
992,0,38.0,male
993,0,11.0,female
994,0,11.0,unknown
995,0,1.0,unknown
996,0,317.0,male
997,0,267.0,female
998,0,49.0,male
999,0,68.0,male
1001,0,5.0,female
1002,0,1.0,unknown
1003,0,78.0,female
1004,0,116.0,unknown
1006,0,4.0,female
1007,0,116.0,male
1008,0,24.0,male
1009,0,15.0,female
1010,0,899.0,male
1011,0,2.0,male
1012,0,9.0,male
1013,0,81.0,female
1014,0,213.0,male
1015,0,152.0,male
1016,0,11.0,male
1017,0,16.0,male
1018,0,11.0,female
1019,0,11.0,female
1020,0,15.0,unknown
1021,0,1068.0,unknown
1022,0,91.0,male
1023,0,1548.0,female
1024,0,33.0,male
1025,0,99.0,male
1026,0,53.0,male
1027,0,94.0,male
1028,0,824.0,male
1029,0,2473.0,male
1030,0,1188.0,unknown
1031,0,158.0,female
1032,0,5.0,male
1033,0,65.0,female
1034,0,88.0,male
1035,0,2133.0,male
1036,0,2858.0,female
1037,0,362.0,female
1038,0,18.0,female
1039,0,2105.0,male
1040,0,27.0,female
1041,0,1064.0,male
1042,0,735.0,male
1043,0,90.0,male
1044,0,172.0,male
1045,0,268.0,female
1046,0,11.0,male
1047,0,3909.0,male
1048,0,33.0,female
1049,0,390.0,male
1051,0,20.0,unknown
1052,0,20.0,unknown
1053,0,3614.0,male
1054,0,29.0,female
1055,0,8.0,male
1056,0,4.0,unknown
1057,0,170.0,male
1058,0,12.0,male
1059,0,214.0,male
1060,0,76.0,female
1061,0,91.0,male
1062,0,1046.0,unknown
1063,0,203.0,male
1064,0,124.0,female
1065,0,516.0,male
1066,0,2.0,unknown
1068,0,3.0,unknown
1069,0,545.0,male
1070,0,226.0,female
1072,0,193.0,female
1073,0,1476.0,male
1074,0,2.0,unknown
1075,0,90.0,unknown
1076,0,12.0,male
1077,0,1052.0,female
1078,0,5.0,male
1079,0,6.0,female
1080,0,6344.0,male
1081,0,2657.0,female
1082,0,25.0,male
1083,0,13.0,male
1084,0,59.0,male
1085,0,9.0,male
1086,0,173.0,unknown
1088,0,71.0,male
1089,0,8.0,female
1090,0,49.0,unknown
1091,0,4.0,unknown
1092,0,4.0,unknown
1093,0,471.0,female
1094,0,20.0,male
1095,0,31.0,male
1096,0,146.0,male
1097,0,11.0,female
1098,0,66.0,female
1099,0,20.0,male
1100,0,8.0,male
1101,0,6.0,male
1102,0,111.0,male
1103,0,15.0,unknown
1104,0,3.0,female
1105,0,22.0,female
1106,0,713.0,male
1107,0,221.0,male
1108,0,13.0,male
1109,0,259.0,female
1110,0,111.0,unknown
1111,0,22.0,male
1112,0,8.0,male
1113,0,2.0,unknown
1114,0,113.0,male
1115,0,2285.0,male
1116,0,3.0,male
1117,0,4554.0,female
1118,0,86.0,male
1119,0,34.0,male
1120,0,378.0,unknown
1121,0,15.0,unknown
1122,0,27.0,female
1123,0,225.0,male
1124,0,653.0,male
1125,0,110.0,female
1126,0,10.0,female
1127,0,11.0,male
1128,0,2174.0,female
1129,0,25.0,male
1130,0,231.0,female
1131,0,10.0,male
1132,0,41.0,male
1133,0,15.0,unknown
1135,0,18.0,male
1136,0,20.0,female
1137,0,36.0,male
1138,0,405.0,female
1139,0,33.0,male
1140,0,210.0,female
1141,0,9.0,male
1142,0,2700.0,male
1143,0,8.0,female
1144,0,32.0,female
1145,0,6.0,male
1146,0,1.0,male
1147,0,4368.0,male
1148,0,91.0,male
1149,0,367.0,female
1150,0,53.0,female
1151,0,1.0,female
1152,0,47.0,male
1153,0,90.0,unknown
1154,0,36.0,male
1155,0,64.0,male
1156,0,15.0,male
1158,0,282.0,female
1159,0,146.0,female
1160,0,18.0,unknown
1161,0,5767.0,female
1162,0,2.0,female
1163,0,115.0,male
1164,0,37.0,male
1165,0,21.0,female
1166,0,162.0,male
1167,0,8776.0,male
1168,0,1.0,male
1169,0,6752.0,female
1170,0,16.0,male
1171,0,52.0,female
1172,0,191.0,male
1173,0,20.0,male
1174,0,5.0,male
1175,0,176.0,male
1176,0,19.0,male
1177,0,2477.0,female
1178,0,883.0,female
1179,0,389.0,male
1181,0,61.0,female
1182,0,151.0,male
1183,0,339.0,male
1184,0,3.0,unknown
1185,0,37.0,male
1186,0,255.0,male
1187,0,134.0,female
1188,0,1190.0,male
1189,0,54.0,male
1190,0,5.0,male
1191,0,30.0,male
1193,0,3.0,female
1194,0,156.0,female
1195,0,17.0,male
1196,0,78.0,male
1198,0,8.0,female
1199,0,19.0,unknown
1200,0,21.0,male
1201,0,3.0,male
1202,0,1131.0,unknown
1203,0,58.0,male
1204,0,60.0,female
1206,0,1591.0,male
1207,0,72.0,male
1208,0,24.0,male
1209,0,14.0,unknown
1211,0,5.0,male
1212,0,1.0,male
1213,0,7.0,male
1214,0,20.0,male
1215,0,25.0,male
1216,0,253.0,unknown
1217,0,3.0,male
1218,0,23.0,unknown
1219,0,120583.0,male
1220,0,4.0,unknown
1221,0,368.0,female
1222,0,16.0,unknown
1223,0,71.0,male
1224,0,122.0,unknown
1225,0,2473.0,female
1226,0,67.0,male
1227,0,42.0,female
1229,0,10707.0,female
1230,0,11.0,unknown
1231,0,61.0,female
1233,0,298.0,male
1234,0,71.0,male
1235,0,9.0,male
1236,0,11.0,unknown
1237,0,3.0,female
1239,0,16.0,female
1240,0,198.0,male
1241,0,730.0,male
1242,0,153.0,female
1243,0,22.0,male
1244,0,106.0,male
1245,0,1.0,male
1246,0,9.0,male
1247,0,94.0,female
1248,0,41.0,male
1249,0,815.0,unknown
1250,0,26.0,male
1251,0,15.0,male
1252,0,3280.0,female
1253,0,658.0,male
1254,0,158.0,female
1255,0,2397.0,unknown
1256,0,790.0,male
1257,0,4.0,male
1258,0,18.0,male
1259,0,49.0,male
1260,0,1258.0,male
1261,0,194.0,unknown
1263,0,133.0,male
1264,0,65.0,female
1265,0,3866.0,male
1267,0,2.0,female
1268,0,8.0,female
1269,0,41.0,female
1270,0,58.0,male
1271,0,615.0,female
1272,0,2574.0,male
1273,0,513.0,male
1274,0,69.0,male
1275,0,403.0,male
1276,0,172.0,female
1277,0,322.0,male
1278,0,5.0,male
1279,0,4.0,unknown
1280,0,69.0,female
1281,0,24.0,female
1283,0,229.0,male
1285,0,3767.0,female
1286,0,66.0,female
1287,0,19.0,male
1288,0,131.0,unknown
1289,0,59.0,male
1290,0,36.0,unknown
1291,0,148.0,male
1293,0,626.0,female
1294,0,62.0,male
1295,0,6485.0,male
1296,0,4.0,female
1297,0,5.0,male
1298,0,65.0,male
1299,0,719.0,female
1301,0,152.0,male
1303,0,7.0,female
1304,0,26.0,female
1305,0,187.0,male
1306,0,2.0,unknown
1307,0,32.0,unknown
1308,0,1396.0,female
1309,0,11.0,unknown
1310,0,22.0,male
1311,0,5.0,male
1312,0,30.0,unknown
1313,0,3901.0,male
1314,0,129.0,female
1315,0,40.0,male
1316,0,18.0,male
1318,0,115.0,male
1319,0,54.0,male
1320,0,3.0,female
1321,0,240.0,female
1322,0,14.0,male
1323,0,48.0,male
1324,0,24.0,male
1325,0,76.0,female
1326,0,60.0,unknown
1327,0,72.0,unknown
1328,0,2213.0,male
1329,0,514.0,male
1330,0,938.0,female
1331,0,8.0,female
1332,0,23.0,male
1333,0,3172.0,male
1334,0,6847.0,unknown
1335,0,1590.0,male
1337,0,101.0,female
1338,0,2455.0,male
1339,0,178.0,male
1341,0,47.0,female
1342,0,30.0,male
1343,0,1938.0,male
1344,0,8.0,male
1345,0,33.0,female
1346,0,31.0,unknown
1347,0,4.0,male
1349,0,124.0,unknown
1350,0,10.0,female
1351,0,41.0,male
1352,0,15.0,unknown
1353,0,1425.0,male
1354,0,9.0,male
1355,0,396.0,male
1356,0,4.0,male
1357,0,47.0,female
1358,0,146.0,unknown
1359,0,178.0,male
1360,0,5.0,female
1361,0,22.0,male
1362,0,89.0,unknown
1363,0,33.0,male
1364,0,24.0,male
1365,0,116.0,unknown
1366,0,15.0,male
1368,0,40.0,male
1369,0,21.0,male
1370,0,22.0,female
1371,0,17.0,male
1372,0,98.0,male
1373,0,33.0,unknown
1374,0,50.0,female
1375,0,6275.0,male
1376,0,3.0,unknown
1377,0,14.0,male
1378,0,219.0,male
1379,0,12.0,male
1380,0,141.0,female
1381,0,4.0,unknown
1382,0,241.0,unknown
1383,0,345.0,male
1384,0,37.0,unknown
1385,0,14.0,male
1386,0,66.0,male
1387,0,63.0,unknown
1388,0,32.0,male
1389,0,2609.0,male
1390,0,288.0,male
1391,0,33.0,male
1392,0,3.0,male
1393,0,14.0,male
1394,0,694.0,female
1395,0,24.0,male
1396,0,391.0,male
1397,0,20.0,female
1398,0,1693.0,female
1399,0,12.0,male
1400,0,5.0,male
